,assist_percentage,block_percentage,defensive_rebound_percentage,free_throw_attempt_rate,offensive_rebound_percentage,steal_percentage,three_point_attempt_rate,total_rebound_percentage,true_shooting_percentage,three_point_percentage,free_throw_percentage,turnover_percentage,usage_percentage,box_plus_minus,name,year,minutes_played,value_over_replacement_player,attempted_three_point_field_goals,attempted_free_throws,steals,assists,blocks,turnovers,age,yrs_played,college,lkup,col_lkup
34,17.9,0.2,14,0.262,3.2,3.6,0.131,8.5,0.454,0.193548387,0.709677419,17.7,15.2,-0.4,Aaron McKie,1999,959,0.4,31,62,63,100,3,57,26,5,Temple,Aaron McKie Temple,Aaron McKie temple
35,19.5,0.7,11.4,0.246,2.6,2.9,0.204,7,0.497,0.363636364,0.828767123,14.7,17.3,1.2,Aaron McKie,2000,1952,1.5,121,146,108,240,18,113,27,6,Temple,Aaron McKie Temple,Aaron McKie temple
36,26.7,0.2,12.9,0.272,1.6,2.3,0.238,7.3,0.549,0.311764706,0.768041237,20.3,18.9,1.4,Aaron McKie,2001,2394,2.1,170,194,106,377,8,203,28,7,Temple,Aaron McKie Temple,Aaron McKie temple
37,21.7,0.7,12.7,0.249,2,2.1,0.261,7.4,0.54,0.3984375,0.786885246,14.6,19.8,2.7,Aaron McKie,2002,1471,1.7,128,122,56,179,14,93,29,8,Temple,Aaron McKie Temple,Aaron McKie temple
38,18.6,0.3,14.5,0.201,3,2.9,0.168,8.7,0.497,0.330357143,0.835820896,13.1,15.8,1.1,Aaron McKie,2003,2374,1.9,112,134,131,278,9,109,30,9,Temple,Aaron McKie Temple,Aaron McKie temple
39,16.8,0.9,11.5,0.192,2.5,2.2,0.298,7.1,0.55,0.436046512,0.756756757,14.1,16.2,1.3,Aaron McKie,2004,2112,1.8,172,111,85,195,23,103,31,10,Temple,Aaron McKie Temple,Aaron McKie temple
40,13.4,1.2,15.5,0.113,2,2.2,0.437,8.7,0.51,0.322580645,0.625,17.2,7.1,-0.6,Aaron McKie,2005,1118,0.4,62,16,48,103,17,31,32,11,Temple,Aaron McKie Temple,Aaron McKie temple
41,12.5,0,16.5,0.167,2.9,2.2,0.167,9.7,0.272,0,0.5,13.4,5.6,-2.4,Aaron McKie,2006,121,0,2,2,5,11,0,2,33,12,Temple,Aaron McKie Temple,Aaron McKie temple
42,14.4,0,15.1,0,0.9,1.6,0,8,0.647,0,0,32,8.6,-4.2,Aaron McKie,2007,131,-0.1,0,0,4,13,0,8,34,13,Temple,Aaron McKie Temple,Aaron McKie temple
43,29.5,0.6,13.6,0.222,0,1.7,0,6.6,0.405,0,1,35.8,11.6,-5,Aaron Miles,2006,118,-0.1,0,4,4,24,1,11,22,1,Kansas ,Aaron Miles Kansas ,Aaron Miles kansas
44,9,0,11.3,0.278,6.7,1,0,9,0.594,0,0.8,19.8,21.4,-6.8,Aaron Swinson,1995,51,-0.1,0,5,1,3,0,5,24,1,Auburn ,Aaron Swinson Auburn ,Aaron Swinson auburn
45,13,0,19,0.125,9.8,0,0,14.4,0.237,0,0,10.6,34.8,-23.9,Aaron Williams,1994,12,-0.1,0,1,0,1,0,1,22,1,Xavier ,Aaron Williams Xavier ,Aaron Williams xavier
46,0,6.2,24.1,0.5,8.1,1.4,0.042,15.9,0.41,0,0.666666667,19.3,22.3,-9,Aaron Williams,1995,72,-0.1,1,12,2,0,6,7,23,2,Xavier ,Aaron Williams Xavier ,Aaron Williams xavier
47,4.704,3.938,16.944,0.33614,12.614,1.568,0.00686,14.78,0.59902,0,0.66,15.098,16.68,-1.678,Aaron Williams,1997,563,0.1,1,49,16,15,29,32,25,3,Xavier ,Aaron Williams Xavier ,Aaron Williams xavier
48,3,3.8,15.4,0.386,7.7,1.3,0.005,11.6,0.575,0,0.776470588,16.3,18.8,-3.3,Aaron Williams,1998,757,-0.2,1,85,19,14,38,50,26,4,Xavier ,Aaron Williams Xavier ,Aaron Williams xavier
49,7.8,3.9,18.9,0.602,13.4,1.6,0.008,16.1,0.508,0,0.72972973,16.2,18.4,-1.6,Aaron Williams,1999,458,0,1,74,14,22,24,30,27,5,Xavier ,Aaron Williams Xavier ,Aaron Williams xavier
50,6.2,4.3,18.9,0.447,11.7,1.4,0.007,15.2,0.572,0,0.726368159,12.9,17.8,0.3,Aaron Williams,2000,1545,0.9,3,201,41,58,92,80,28,6,Xavier ,Aaron Williams Xavier ,Aaron Williams xavier
51,6.5,3.6,19.2,0.477,10.1,1.3,0.003,14.5,0.533,0,0.787096774,14.4,17.8,-1.6,Aaron Williams,2001,2336,0.2,2,310,59,88,113,132,29,7,Xavier ,Aaron Williams Xavier ,Aaron Williams xavier
