assist_percentage,assists,block_percentage,blocks,box_plus_minus,conference,defensive_box_plus_minus,defensive_rebound_percentage,defensive_rebounds,defensive_win_shares,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,games_played,games_started,height,minutes_played,offensive_box_plus_minus,offensive_rebound_percentage,offensive_rebounds,offensive_win_shares,personal_fouls,player_efficiency_rating,player_id,points,points_produced,position,steal_percentage,steals,team_abbreviation,three_point_attempt_rate,three_point_attempts,three_point_percentage,three_pointers,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_attempts,two_point_percentage,two_pointers,usage_percentage,weight,win_shares,win_shares_per_40_minutes,name,season,yrs_played,assists_per_40,blocks_per_40,defensive_rebounds_per_40,free_throw_attempts_per_40,free_throws_per_40,offensive_rebounds_per_40,personal_fouls_per_40,points_per_40,steals_per_40,three_point_attempts_per_40,three_pointers_per_40,total_rebounds_per_40,turnovers_per_40,two_point_attempts_per_40,two_pointers_per_40
19.6,432,0.3,14,8.1,,2.2,10.1,374,4.9,0.533,1409,0.43,606,0.419,591,0.834,493,142,97,76,3965,5.9,2.3,76,13.9,297,21.4,grayson-allen-1,1996,1944,Guard,2.1,147,duke,0.544,766,0.38,291,6.4,450,0.591,12.4,240,643,0.49,315,24.1,195,18.8,0.189,Grayson Allen,Career,4,4.36,0.14,3.77,5.96,4.97,0.77,3,20.14,1.48,7.73,2.94,4.54,2.42,6.49,3.18
9.5,46,1.6,13,2.9,,2.3,11.5,102,1.3,0.47,313,0.428,134,0.399,125,0.616,77,37,37,77,918,0.6,4.2,33,1.1,96,13.8,hamidou-diallo-1,371,348,Guard,1.7,28,kentucky,0.246,77,0.338,26,8.1,135,0.498,12,51,236,0.458,108,22.6,190,2.4,0.103,Hamidou Diallo,Career,1,2,0.57,4.44,5.45,3.36,1.44,4.18,16.17,1.22,3.36,1.13,5.88,2.22,10.28,4.71
16.8,263,3.5,92,9.2,,4.2,11.6,316,6.9,0.518,985,0.429,423,0.286,282,0.755,213,105,80,78,3051,4.9,5.3,139,8.2,209,20.3,jacob-evans-1,1233,1194,Guard,2.4,120,cincinnati,0.469,462,0.377,174,8.5,455,0.551,10.6,133,523,0.476,249,20.9,210,15.1,0.198,Jacob Evans,Career,3,3.45,1.21,4.14,3.7,2.79,1.82,2.74,16.17,1.57,6.06,2.28,5.97,1.74,6.86,3.26
24.3,432,0,1,8,,2.2,8.1,238,4.8,0.588,1135,0.51,579,0.357,405,0.82,332,116,115,75,3349,5.8,1.8,47,12.4,209,22.1,jalen-brunson-1,1667,1669,Guard,1.7,97,villanova,0.396,450,0.393,177,5.1,285,0.628,14.1,217,685,0.587,402,24,199,17.3,0.206,Jalen Brunson,Career,3,5.16,0.01,2.84,4.84,3.97,0.56,2.5,19.91,1.16,5.37,2.11,3.4,2.59,8.18,4.8
13.3,281,0.7,26,3.2,,2,8.8,313,7.1,0.473,1442,0.406,586,0.354,511,0.763,390,134,131,75,4232,1.2,2.5,95,6.7,353,15.4,jared-terrell-1,1754,1647,Guard,2.4,170,rhode-island,0.365,526,0.365,192,5.6,408,0.521,12.1,233,916,0.43,394,23.2,220,13.8,0.13,Jared Terrell,Career,4,2.66,0.25,2.96,4.83,3.69,0.9,3.34,16.58,1.61,4.97,1.81,3.86,2.2,8.66,3.72
10.7,14,5.3,11,6.4,,2.9,27.9,64,0.5,0.426,68,0.426,29,0.559,38,0.632,24,14,0,81,238,3.5,23.1,46,0.5,37,21.6,jarred-vanderbilt-1,82,103,Forward,1.4,6,kentucky,0.015,1,0,0,25.7,110,0.476,14.8,15,67,0.433,29,20.8,214,1,0.172,Jarred Vanderbilt,Career,1,2.35,1.85,10.76,6.39,4.03,7.73,6.22,13.78,1.01,0.17,0,18.49,2.52,11.26,4.87
29.6,590,0.6,22,6.1,,1.1,8.8,313,4.7,0.535,1246,0.427,532,0.554,690,0.838,578,110,108,73,3998,4.9,1.7,59,13.1,291,21.5,jaylen-adams-1,1912,1955,Guard,2.5,170,st-bonaventure,0.55,685,0.394,270,5.3,372,0.607,16.6,314,561,0.467,262,23.6,180,17.7,0.177,Jaylen Adams,Career,4,5.9,0.22,3.13,6.9,5.78,0.59,2.91,19.13,1.7,6.85,2.7,3.72,3.14,5.61,2.62
15.9,161,0.9,16,5.3,,0.7,10.9,199,2,0.522,874,0.455,398,0.272,238,0.735,175,71,65,75,2007,4.6,4.2,74,4.7,169,20.1,jaylen-barford-1,1087,1022,Guard,2.2,79,arkansas,0.355,310,0.374,116,7.6,273,0.551,12.2,137,564,0.5,282,27.3,202,6.6,0.132,Jaylen Barford,Career,2,3.21,0.32,3.97,4.74,3.49,1.47,3.37,21.66,1.57,6.18,2.31,5.44,2.73,11.24,5.62
20.6,294,0.8,24,3,,0.6,11.1,297,2.9,0.514,1249,0.45,562,0.327,408,0.755,308,90,90,79,3118,2.3,1.7,46,5.1,226,17.9,jerome-robinson-2,1591,1504,Forward,2.1,117,boston-college,0.339,423,0.376,159,6.3,343,0.551,15.2,259,826,0.488,403,27.4,181,8,0.103,Jerome Robinson,Career,3,3.77,0.31,3.81,5.23,3.95,0.59,2.9,20.41,1.5,5.43,2.04,4.4,3.32,10.6,5.17
24.3,559,1,34,9.9,,5.1,11.7,407,9.4,0.491,1441,0.407,587,0.298,430,0.798,343,144,112,74,4299,4.7,3.2,131,10.4,358,19.9,jevon-carter-1,1758,1799,Guard,4.4,330,west-virginia,0.471,678,0.355,241,7.1,538,0.534,13.8,264,763,0.453,346,21,185,19.8,0.184,Jevon Carter,Career,4,5.2,0.32,3.79,4,3.19,1.22,3.33,16.36,3.07,6.31,2.24,5.01,2.46,7.1,3.22
