level_0,assist_percentage,block_percentage,box_plus_minus,conference,defensive_box_plus_minus,defensive_rebound_percentage,defensive_win_shares,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_percentage,games_played,games_started,height,minutes_played,offensive_box_plus_minus,offensive_rebound_percentage,offensive_win_shares,player_efficiency_rating,player_id,points_produced,position,steal_percentage,team_abbreviation,three_point_attempt_rate,three_point_percentage,total_rebound_percentage,true_shooting_percentage,turnover_percentage,two_point_percentage,usage_percentage,weight,win_shares,win_shares_per_40_minutes,name,season,yrs_played,col_lkup,assists_per_40,blocks_per_40,defensive_rebounds_per_40,free_throw_attempts_per_40,free_throws_per_40,offensive_rebounds_per_40,personal_fouls_per_40,points_per_40,steals_per_40,three_point_attempts_per_40,three_pointers_per_40,total_rebounds_per_40,turnovers_per_40,two_point_attempts_per_40,two_pointers_per_40,max_mp,year,all_star_flag,class
2006-07,5,2.7,,acc,,,2.1,0.57,460,0.53,244,0.457,0.79,35,35,80,1092,,,4.5,,al-thornton-1,,Guard,,florida-state,0.176,0.444,14.6,0.616,13.5,0.549,30,220,6.6,0.241,Al Thornton,2006,4,Al Thornton florida-state,0.88,1.47,5.31,7.69,6.08,3.88,3.48,25.27,1.94,2.97,1.32,9.19,3.19,13.88,7.62,2654,,0,starter
1989-90,5.4,3.7,,acc,,,,0.62,350,0.62,217,0.509,0.775,38,37,82,947,,,,,alaa-abdelnaby-1,,Forward,,duke,0,,14.5,0.658,11.1,0.62,22,240,,,Alaa Abdelnaby,1989,4,Alaa Abdelnaby duke,1.14,2.03,,7.52,5.83,,4.18,24.16,1.1,0,0,10.64,2.28,14.78,9.17,1311,,0,role_player
2004-05,12.4,0.6,,big-ten,,,1.7,0.603,268,0.556,149,0.485,0.877,33,33,78,877,,,3.6,,alan-anderson-1,,Forward,,michigan-state,0.243,0.385,12.9,0.663,14.1,0.611,22,220,5.3,0.24,Alan Anderson,2004,4,Alan Anderson michigan-state,2.55,0.32,5.61,5.93,5.2,2.78,4.1,19.93,1.46,2.96,1.14,8.39,2.46,9.26,5.66,1495,,0,role_player
1994-95,,,,big-ten,,,,0.599,476,0.597,284,0.527,0.633,31,,81,1093,,,,,alan-henderson-1,,Forward,,indiana,0.021,0.2,,0.612,13,0.605,,235,,,Alan Henderson,1994,4,Alan Henderson indiana,1.98,2.34,,9.19,5.82,,3.55,26.68,1.54,0.37,0.07,11.05,3.26,17.05,10.32,2000,,0,role_player
2010-11,19.6,1,8.1,big-12,0,14.8,1,0.495,535,0.469,251,0.564,0.825,38,37,78,1193,8,9.2,5.6,29.4,alec-burks-1,771,Guard,2,colorado,0.179,0.292,12.1,0.574,12.7,0.508,32.3,195,6.6,0.221,Alec Burks,2010,2,Alec Burks colorado,3.76,0.4,5.23,10.13,8.35,3.05,2.98,26.12,1.37,3.22,0.94,8.28,3.32,14.72,7.48,2193,,0,role_player
1989-90,,,,sec,,,,0.51,403,0.491,198,0.653,0.757,29,,83,970,,,,,alec-kessler-1,,Center,,georgia,0.087,0.429,,0.578,16.1,0.497,,230,,,Alec Kessler,1989,4,Alec Kessler georgia,1.53,0.62,,10.85,8.21,,3.71,25.15,0.78,1.44,0.62,12.37,4.16,15.18,7.55,1259,,0,scrub
2012-13,7.8,8,6.8,acc,3.2,21,2,0.535,324,0.534,173,0.472,0.686,38,37,85,1004,3.6,13.2,3,24.5,alex-len-1,434,Center,0.5,maryland,0.025,0.125,17.2,0.57,13.1,0.544,22.8,225,5,0.2,Alex Len,2012,2,Alex Len maryland,1.47,3.11,7.53,6.1,4.18,4.34,4.02,18.01,0.32,0.32,0.04,11.87,2.39,12.59,6.85,1821,,0,role_player
1992-93,,,,sec,,,,0.555,454,0.465,211,0.414,0.878,30,30,78,1075,,,,,allan-houston-1,,Guard,,tennessee,0.436,0.414,,0.616,13.4,0.504,,200,,,Allan Houston,1992,4,Allan Houston tennessee,3.42,0.3,,7,6.14,,2.49,24.89,1.04,7.37,3.05,5.4,3.13,9.53,4.8,3072,,0,starter
2012-13,16.2,1.9,8.4,pac-12,2.4,16,1.8,0.528,468,0.459,215,0.297,0.813,33,33,78,1195,6,3.3,3.3,22.3,allen-crabbe-1,548,Guard,1.9,california,0.393,0.348,9.8,0.568,13.5,0.532,26.6,210,5.1,0.17,Allen Crabbe,2012,3,Allen Crabbe california,2.91,0.77,5.59,4.65,3.78,1.1,2.31,20.32,1.24,6.16,2.14,6.69,2.78,9.51,5.05,2254,,0,starter
2008-09,8.3,1.5,,sec,,,1.9,0.476,398,0.442,176,0.405,0.627,32,32,78,1027,,,1.1,,alonzo-gee-1,,Forward,,alabama,0.186,0.365,11.9,0.506,13.3,0.46,25.4,219,3,0.116,Alonzo Gee,2008,4,Alonzo Gee alabama,1.6,0.82,5.45,6.27,3.93,3.54,2.38,18.7,1.13,2.88,1.05,9,2.84,12.62,5.8,2541,,0,starter
