col_lkup,height,position,steals,blocks,minutes_played,personal_fouls,assists,free_throw_attempts,free_throws,offensive_rebounds,defensive_rebounds,points,total_rebounds,turnovers,two_point_attempts,two_pointers,three_point_attempts,three_pointers,yrs_played,steals_per_40,blocks_per_40,personal_fouls_per_40,assists_per_40,free_throw_attempts_per_40,free_throws_per_40,offensive_rebounds_per_40,defensive_rebounds_per_40,points_per_40,total_rebounds_per_40,turnovers_per_40,two_point_attempts_per_40,two_pointers_per_40,three_point_attempts_per_40,three_pointers_per_40,free_throw_percentage,three_point_percentage,two_point_percentage,max_season,nba_value_over_replacement_player,nba_steals,nba_blocks,nba_minutes_played,nba_assists,nba_turnovers,nba_attempted_three_point_field_goals,nba_attempted_free_throws,nba_steals_per_40,nba_blocks_per_40,nba_assists_per_40,nba_turnovers_per_40,nba_attempted_three_point_field_goals_per_40,nba_attempted_free_throws_per_40,nba_three_point_percentage,nba_free_throw_percentage,nba_assist_percentage,nba_block_percentage,nba_steal_percentage,nba_usage_percentage,nba_total_rebound_percentage,nba_true_shooting_percentage,nba_turnover_percentage
Doug Christie pepperdine,78,Guard,168,86,2658,207,395,478,357,0,0,1392,443,332,789,414,232,69,3,2.53,1.29,3.12,5.94,7.19,5.37,0,0,20.95,6.67,5,11.87,6.23,3.49,1.04,0.746872385,0.297306034,0.52495057,1991,0.4,183,53,2962,314,298,244,372,2.47,0.72,4.24,4.02,3.3,5.02,0.362159115,0.721743612,16.09977718,1.236588791,3.174359217,21.66757326,8.621161377,0.521995449,19.99712762
Doug McDermott creighton,80,Forward,34,14,4569,265,194,715,594,281,807,3150,1088,321,1477,867,598,274,4,0.3,0.12,2.32,1.7,6.26,5.2,2.46,7.07,27.58,9.53,2.81,12.93,7.59,5.24,2.4,0.830646154,0.45809699,0.587161137,2013,-0.9,50,28,5458,202,164,724,264,0.37,0.21,1.48,1.2,5.31,1.93,0.402458571,0.816920395,5.617681935,0.41332576,0.459408575,16.39106779,6.103245145,0.55997849,8.039486992
Doug Overton la-salle,75,Guard,277,5,4300,224,671,350,285,62,152,1795,420,334,1031,542,376,142,4,2.58,0.05,2.08,6.24,3.26,2.65,0.58,1.41,16.7,3.91,3.11,9.59,5.04,3.5,1.32,0.814208571,0.377691489,0.525788555,1990,-1.5,118,14,4050,601,270,175,313,1.17,0.14,5.94,2.67,1.73,3.09,0.371428571,0.801916933,21.97740741,0.248271605,1.46362963,17.40750617,5.384148148,0.495648889,16.60575309
Doug Smith missouri,82,Forward,178,129,3760,422,320,517,386,0,0,2184,1053,335,1735,893,23,4,4,1.89,1.37,4.49,3.4,5.5,4.11,0,0,23.23,11.2,3.56,18.46,9.5,0.24,0.04,0.746460348,0.174173913,0.514511239,1990,-2.2,221,150,5741,396,342,36,397,1.54,1.05,2.76,2.38,0.25,2.77,0.083333333,0.77581864,11.21515415,1.697334959,1.925692388,21.01684376,11.46187075,0.458487023,11.79909423
Draymond Green michigan-state,79,Forward,180,116,3619,396,425,495,340,283,813,1517,1096,277,911,452,252,91,4,1.99,1.28,4.38,4.7,5.47,3.76,3.13,8.99,16.77,12.11,3.06,10.07,5,2.79,1.01,0.686991919,0.360944444,0.49605708,2011,10.2,386,309,8156,1094,534,819,707,1.89,1.52,5.37,2.62,4.02,3.47,0.341880342,0.690240453,18.43211133,2.813364394,2.29838156,16.80578715,13.8234306,0.529235655,16.75069887
Drew Gooden kansas,82,Forward,104,107,2566,241,156,457,319,196,461,1526,905,251,1143,575,62,19,3,1.62,1.67,3.76,2.43,7.12,4.97,3.06,7.19,23.79,14.11,3.91,17.82,8.96,0.97,0.3,0.697954048,0.306709677,0.502936133,2001,2.7,244,232,8704,358,515,121,1042,1.12,1.07,1.65,2.37,0.56,4.79,0.209687388,0.714250843,7.255561926,1.931125804,1.472792165,21.76243991,15.93958307,0.52383531,12.29679527
Duane Causwell temple,85,Center,45,203,1896,202,31,205,128,0,0,542,451,70,410,207,1,0,3,0.95,4.28,4.26,0.65,4.32,2.7,0,0,11.43,9.51,1.48,8.65,4.37,0.02,0,0.624346341,0,0.504817073,1989,0.6,147,499,5895,174,311,2,620,1,3.39,1.18,2.11,0.01,4.21,0,0.619354839,4.244223919,5.191670908,1.224003393,13.64761662,13.62900763,0.561655471,16.43945717
Dwayne Jones saint-josephs,83,Center,41,232,2753,248,68,426,206,306,525,694,831,139,467,244,0,0,3,0.6,3.37,3.6,0.99,6.19,2.99,4.45,7.63,10.08,12.07,2.02,6.79,3.55,0,0,0.483356808,,0.522663812,2004,-0.3,11,29,629,12,26,1,83,0.7,1.84,0.76,1.65,0.06,5.28,0,0.493975904,2.782670906,3.643561208,0.908426073,9.254213037,17.42050874,0.528475358,19.90874404
Dwayne Schintzius florida,85,Center,64,272,3475,339,253,317,231,0,0,1624,829,283,1388,692,19,3,4,0.74,3.13,3.9,2.91,3.65,2.66,0,0,18.69,9.54,3.26,15.98,7.97,0.22,0.03,0.728555205,0.157789474,0.498467579,1989,-0.7,17,76,1152,52,66,6,72,0.59,2.64,1.81,2.29,0.21,2.5,0,0.625,6.403472222,3.966927083,0.704861111,16.69184028,15.77534722,0.430283854,13.78697917
Dwight Powell stanford,82,Forward,125,118,3569,390,240,557,402,225,628,1465,853,283,996,482,114,33,4,1.4,1.32,4.37,2.69,6.24,4.51,2.52,7.04,16.42,9.56,3.17,11.16,5.4,1.28,0.37,0.721475763,0.289491228,0.483985944,2013,3,173,101,4233,193,144,185,501,1.63,0.95,1.82,1.36,1.75,4.73,0.291243243,0.738895113,7.270751713,2.071338531,2.077977794,16.66722136,14.17847673,0.605152658,9.303215686
Dwyane Wade marquette,76,Guard,150,79,1993,156,255,404,301,141,279,1281,420,203,863,442,96,32,2,3.01,1.59,3.13,5.12,8.11,6.04,2.83,5.6,25.71,8.43,4.07,17.32,8.87,1.93,0.64,0.74485396,0.333166667,0.512413673,2002,18.8,460,236,9923,1682,1001,253,2412,1.85,0.95,6.78,4.04,1.02,9.72,0.249011858,0.777363184,32.16749975,1.801602338,2.472256374,30.84171118,7.750750781,0.563302529,15.41617454
Earl Barron memphis,85,Center,56,132,2534,318,92,406,278,229,276,1002,622,139,728,356,23,4,4,0.88,2.08,5.02,1.45,6.41,4.39,3.61,4.36,15.82,9.82,2.19,11.49,5.62,0.36,0.06,0.684908867,0.173782609,0.48878022,2002,-1.9,29,16,1369,42,75,14,138,0.85,0.47,1.23,2.19,0.41,4.03,0.071428572,0.746376811,5.240759679,0.912125639,1.104090577,21.61811541,14.03484295,0.440680058,11.89101534
Earl Boykins eastern-michigan,65,Guard,222,10,4026,144,624,638,512,0,0,2211,277,262,1215,578,513,181,4,2.21,0.1,1.43,6.2,6.34,5.09,0,0,21.97,2.75,2.6,12.07,5.74,5.1,1.8,0.802059561,0.35291423,0.47566749,1997,0.4,43,3,1392,258,90,88,104,1.24,0.09,7.41,2.59,2.53,2.99,0.280912588,0.769230769,32.34697486,0.16390158,1.626659483,21.73031466,4.430948994,0.469055582,13.48483046
Earl Clark louisville,81,Forward,93,124,2779,172,179,328,210,223,505,1104,728,223,709,363,188,56,3,1.34,1.78,2.48,2.58,4.72,3.02,3.21,7.27,15.89,10.48,3.21,10.21,5.22,2.71,0.81,0.640259146,0.29756383,0.512212976,2008,-0.5,63,107,2769,113,138,114,188,0.91,1.55,1.63,1.99,1.65,2.72,0.324561404,0.676779758,6.300030336,2.87794294,1.152095341,17.18758252,12.41511882,0.467761315,13.17973131
Earl Watson ucla,73,Guard,235,49,4170,288,607,428,280,43,74,1449,484,337,760,385,390,133,4,2.25,0.47,2.76,5.82,4.11,2.69,0.41,0.71,13.9,4.64,3.23,7.29,3.69,3.74,1.28,0.654266355,0.341053846,0.506602632,2000,2.3,323,57,5807,1111,452,404,398,2.22,0.39,7.65,3.11,2.78,2.74,0.309405941,0.668341709,30.5924746,0.710074049,2.976080592,17.77711383,5.828448424,0.484518684,19.96531772
Ed Davis north-carolina,82,Forward,24,129,1357,116,44,228,142,149,321,562,470,86,383,210,0,0,2,0.71,3.8,3.42,1.3,6.72,4.19,4.39,9.46,16.57,13.85,2.54,11.29,6.19,0,0,0.622789474,,0.548078329,2009,2.2,134,258,5723,190,218,1,490,0.94,1.8,1.33,1.52,0.01,3.42,0,0.597489224,5.463695265,3.627536082,1.240891665,15.4037732,16.7202918,0.55907721,11.52347894
Eddie Gill weber-state,73,Guard,178,18,2154,107,344,284,246,0,0,919,308,209,311,134,345,135,2,3.31,0.33,1.99,6.39,5.27,4.57,0,0,17.07,5.72,3.88,5.78,2.49,6.41,2.51,0.866080986,0.391301449,0.430639871,1999,-0.2,83,10,1714,172,116,156,145,1.94,0.23,4.01,2.71,3.64,3.38,0.314102564,0.848275862,16.65180863,0.440431739,2.659509918,16.1743874,5.67823804,0.498381564,19.51277713
Eddie Griffin seton-hall,82,Forward,26,133,979,71,49,109,80,94,229,533,323,67,352,165,128,41,1,1.06,5.43,2.9,2,4.45,3.27,3.84,9.36,21.78,13.2,2.74,14.38,6.74,5.23,1.68,0.734,0.32,0.469,2000,2.8,105,511,6637,232,221,751,332,0.63,3.08,1.4,1.33,4.53,2,0.315579228,0.668674699,5.870619256,5.527648034,0.852207323,18.24631611,14.96857014,0.4496741,8.54288082
Eddie House arizona-state,73,Guard,258,19,4136,219,405,336,268,0,0,2044,502,195,1111,513,683,250,4,2.5,0.18,2.12,3.92,3.25,2.59,0,0,19.77,4.85,1.89,10.74,4.96,6.61,2.42,0.797380952,0.365771596,0.461815482,1999,0.4,165,10,3993,410,224,468,165,1.65,0.1,4.11,2.24,4.69,1.65,0.341880342,0.806060606,19.15096419,0.177585775,2.217555723,22.94049587,5.648459805,0.455390183,11.41495116
Eddie Jones temple,78,Forward,197,107,3117,234,144,324,199,0,0,1470,557,137,830,424,403,141,3,2.53,1.37,3,1.85,4.16,2.55,0,0,18.86,7.15,1.76,10.65,5.44,5.17,1.81,0.614256173,0.35026799,0.510545783,1993,13.4,609,190,10073,890,489,1230,996,2.42,0.75,3.53,1.94,4.88,3.96,0.381300813,0.771084337,13.99730964,1.311585426,3.112191006,19.52842252,6.270664152,0.571573712,11.01834607
Eddie Robinson lamar,75,Guard,93,28,3538,155,383,246,161,27,301,594,356,238,429,173,124,29,4,1.05,0.32,1.75,4.33,2.78,1.82,0.31,3.4,6.72,4.02,2.69,4.85,1.96,1.4,0.33,0.654573171,0.233806452,0.403347319,2002,2.4,183,81,4321,194,170,27,263,1.69,0.75,1.8,1.57,0.25,2.43,0.259259259,0.752851711,7.952279565,1.383614904,2.186021754,17.21409396,8.635269614,0.542214534,10.58167091
Ekpe Udoh baylor,82,Center,79,292,2806,230,154,259,168,259,391,867,650,151,681,330,45,13,3,1.13,4.16,3.28,2.2,3.69,2.39,3.69,5.57,12.36,9.27,2.15,9.71,4.7,0.64,0.19,0.648413127,0.288755556,0.484311307,2009,-0.8,116,317,4436,171,182,3,344,1.05,2.86,1.54,1.64,0.03,3.1,0,0.715906977,5.548611362,5.41839495,1.356050496,12.68237151,10.48062218,0.481370965,14.51613165
Elden Campbell clemson,83,Forward,135,334,3194,352,113,576,369,0,0,1880,836,269,1332,751,10,3,4,1.69,4.18,4.41,1.42,7.21,4.62,0,0,23.54,10.47,3.37,16.68,9.41,0.13,0.04,0.640447917,0.3,0.563786787,1989,1.2,187,443,6060,203,256,7,749,1.23,2.92,1.34,1.69,0.05,4.94,0,0.651535381,4.93320132,4.527805281,1.56519802,17.84549505,12.6540429,0.497435974,10.2120462
Eldridge Recasner washington,75,Guard,118,28,4177,76,376,467,379,0,0,1700,434,78,950,482,300,119,4,1.13,0.27,0.73,3.6,4.47,3.63,0,0,16.28,4.16,0.75,9.1,4.62,2.87,1.14,0.811466809,0.396556667,0.507132632,1989,1.4,105,10,3949,382,219,480,207,1.06,0.1,3.87,2.22,4.86,2.1,0.41875,0.898550725,15.70430489,0.188554064,1.402304381,17.24479615,5.937528488,0.554762218,14.79951887
Elfrid Payton louisiana-lafayette,75,Guard,197,51,3155,226,486,645,394,148,360,1426,508,336,920,471,112,30,3,2.5,0.65,2.87,6.16,8.18,5,1.88,4.56,18.08,6.44,4.26,11.66,5.97,1.42,0.38,0.610790698,0.267732143,0.511891304,2013,3.4,402,102,8854,1923,726,372,783,1.82,0.46,8.69,3.28,1.68,3.54,0.297177018,0.61916605,33.97486786,0.942812288,2.275839169,20.44081997,7.894605828,0.49573377,17.86886153
Elliot Perry memphis,73,Guard,304,15,4124,280,546,708,562,0,0,2209,443,404,1285,609,414,143,4,2.95,0.15,2.72,5.3,6.87,5.45,0,0,21.43,4.3,3.92,12.46,5.91,4.02,1.39,0.793954802,0.345516908,0.473920623,1990,2.6,302,13,4514,950,402,129,458,2.68,0.12,8.42,3.56,1.14,4.06,0.389069768,0.777965793,30.69290541,0.165026584,3.345387683,19.03674457,4.616086619,0.542772463,20.35461896
Elliot Williams memphis,76,Guard,66,5,1696,127,151,302,217,54,158,754,212,129,315,165,200,69,2,1.56,0.12,3,3.56,7.12,5.12,1.27,3.73,17.78,5,3.04,7.43,3.89,4.72,1.63,0.718701987,0.34512,0.523822222,2009,-1.1,45,6,1470,94,78,174,145,1.22,0.16,2.56,2.12,4.73,3.95,0.308568443,0.666896552,9.844955782,0.319591837,1.537969388,17.5652517,6.018204082,0.511791088,13.1887483
Elmore Spencer nevada-las-vegas,85,Center,47,173,1694,152,106,217,112,0,0,742,410,159,519,315,3,0,3,1.11,4.09,3.59,2.5,5.12,2.64,0,0,17.52,9.68,3.75,12.26,7.44,0.07,0,0.515870968,0,0.606751445,1991,-1.6,52,170,2636,109,248,3,250,0.79,2.58,1.65,3.76,0.05,3.79,0,0.57424,6.082707132,4.062701062,0.926479514,17.5894871,11.38803035,0.532644674,22.47080425
Elton Brand duke,80,Center,81,113,1997,97,51,390,262,0,0,972,536,67,580,355,0,0,2,1.62,2.26,1.94,1.02,7.81,5.25,0,0,19.47,10.74,1.34,11.62,7.11,0,0,0.671610256,,0.611841379,1998,12.6,288,571,11379,743,781,5,1888,1.01,2.01,2.61,2.75,0.02,6.64,0,0.706567797,12.9588013,3.60990421,1.343316636,24.26332718,16.1311363,0.545606644,12.88107039
Emanual Davis delaware-state,76,Guard,183,45,2550,108,378,408,296,0,0,1269,381,171,466,257,416,153,3,2.87,0.71,1.69,5.93,6.4,4.64,0,0,19.91,5.98,2.68,7.31,4.03,6.53,2.4,0.725215686,0.367653846,0.551703863,1990,0.2,128,22,2820,292,190,329,138,1.82,0.31,4.14,2.7,4.67,1.96,0.364741641,0.775362319,15.73457447,0.586560284,2.375283688,15.7006383,6.520992908,0.524417376,19.42588652
Emeka Okafor connecticut,82,Center,91,441,3274,271,81,447,252,353,738,1426,1091,206,995,587,0,0,3,1.11,5.39,3.31,0.99,5.46,3.08,4.31,9.02,17.42,13.33,2.52,12.16,7.17,0,0,0.563818792,,0.590114573,2003,3,203,485,8521,245,453,1,1137,0.95,2.28,1.15,2.13,0,5.34,0,0.597185576,5.002816571,4.351731017,1.237589485,20.45709424,18.26311466,0.521565075,11.762833
Eric Bledsoe kentucky,73,Guard,52,12,1122,82,107,123,82,19,95,419,114,112,184,95,128,49,1,1.85,0.43,2.92,3.81,4.39,2.92,0.68,3.39,14.94,4.06,3.99,6.56,3.39,4.56,1.75,0.667,0.383,0.516,2009,3.9,301,109,5274,823,521,364,548,2.28,0.83,6.24,3.95,2.76,4.16,0.326923077,0.759124088,24.5168942,1.702104664,2.958191126,21.2395146,7.88890785,0.52037391,21.37720895
Eric Gordon indiana,75,Guard,42,20,1110,69,78,277,231,23,81,669,104,115,217,114,208,70,1,1.51,0.72,2.49,2.81,9.98,8.32,0.83,2.92,24.11,3.75,4.14,7.82,4.11,7.5,2.52,0.834,0.337,0.525,2007,4.1,231,71,7328,676,483,989,1062,1.26,0.39,3.69,2.64,5.4,5.8,0.370070779,0.806967985,15.94825328,0.765679585,1.621902293,22.98299672,4.348376092,0.57666512,13.05579967
Eric Maynor virginia-commonwealth,74,Guard,168,20,3990,258,674,636,503,70,372,1953,442,318,1073,512,384,142,4,1.68,0.2,2.59,6.76,6.38,5.04,0.7,3.73,19.58,4.43,3.19,10.76,5.13,3.85,1.42,0.791097484,0.370080729,0.477458527,2008,-0.5,102,17,3569,708,252,280,197,1.14,0.19,7.93,2.82,3.14,2.21,0.356717751,0.729789389,30.0672362,0.368370412,1.460484449,17.26759569,5.027917624,0.479201387,18.57164332
Eric Montross north-carolina,85,Center,63,169,3501,408,86,601,375,0,0,1627,941,211,1070,626,0,0,4,0.72,1.93,4.66,0.98,6.87,4.28,0,0,18.59,10.75,2.41,12.23,7.15,0,0,0.623790349,,0.585230841,1993,-3.2,81,190,6266,151,301,1,498,0.52,1.21,0.96,1.92,0.01,3.18,0,0.510070792,3.684152091,2.200470795,0.66441015,13.50376827,14.84252139,0.512282628,15.66068401
Eric Moreland oregon-state,82,Forward,70,184,2227,211,116,294,156,211,551,640,762,161,421,230,24,8,4,1.26,3.3,3.79,2.08,5.28,2.8,3.79,9.9,11.5,13.69,2.89,7.56,4.13,0.43,0.14,0.530663265,0.333458333,0.546543943,2013,0.5,32,56,898,83,50,1,33,1.43,2.49,3.7,2.23,0.04,1.47,0.88,0.393939394,12.62736303,5.470877506,1.758008909,9.825305122,19.05429399,0.526831849,24.58366147
Eric Murdock providence,73,Guard,376,32,3648,344,487,610,478,0,0,2021,504,330,1102,518,477,169,4,4.12,0.35,3.77,5.34,6.69,5.24,0,0,22.16,5.53,3.62,12.08,5.68,5.23,1.85,0.783616393,0.354148847,0.469908348,1990,8.9,514,38,7606,1723,657,553,912,2.7,0.2,9.06,3.46,2.91,4.8,0.352622062,0.791666666,36.77929266,0.334038917,3.452721536,22.89457008,6.216118854,0.533015908,16.37127268
Eric Piatkowski nebraska,79,Guard,122,64,3418,259,322,489,380,0,0,1934,669,261,872,474,564,202,4,1.43,0.75,3.03,3.77,5.72,4.45,0,0,22.63,7.83,3.05,10.2,5.55,6.6,2.36,0.777212679,0.358046099,0.54356422,1993,2.5,145,47,4479,262,234,691,451,1.29,0.42,2.34,2.09,6.17,4.03,0.389290883,0.811529934,9.689439607,0.778789908,1.677896852,19.70020094,7.494753293,0.571616209,11.7568877
Eric Riley michigan,85,Center,51,168,2248,358,79,267,179,0,0,777,652,190,560,299,3,0,4,0.91,2.99,6.37,1.41,4.75,3.19,0,0,13.83,11.6,3.38,9.96,5.32,0.05,0,0.670599251,0,0.534067857,1992,-0.7,45,106,1507,47,100,4,165,1.19,2.81,1.25,2.65,0.11,4.38,0,0.703030303,4.956934307,5.009024552,1.559256802,17.63085601,14.49051095,0.497331121,17.03370936
Eric Snow michigan-state,75,Guard,142,14,2850,246,599,222,102,0,0,668,291,261,448,253,76,20,4,1.99,0.2,3.45,8.41,3.12,1.43,0,0,9.38,4.08,3.66,6.29,3.55,1.07,0.28,0.459572072,0.263328947,0.564636161,1994,1.2,225,9,3798,710,260,63,336,2.37,0.09,7.48,2.74,0.66,3.54,0.205634921,0.702250195,29.85856345,0.16950079,3.179917852,14.35386519,5.491237493,0.4967691,21.3801485
Eric Williams providence,80,Forward,96,63,1822,163,112,404,272,0,0,1001,352,132,689,321,83,29,2,2.11,1.38,3.58,2.46,8.87,5.97,0,0,21.98,7.73,2.9,15.13,7.05,1.82,0.64,0.673032178,0.349590361,0.465930334,1994,-1.1,159,32,4830,248,285,44,918,1.32,0.27,2.05,2.36,0.36,7.6,0.25,0.729847495,8.423913043,0.466873706,1.670186335,20.98250518,7.682505176,0.517163561,12.30652174
Erick Dampier mississippi-state,83,Center,58,249,2643,267,128,475,269,0,0,1231,859,243,819,481,0,0,3,0.88,3.77,4.04,1.94,7.19,4.07,0,0,18.63,13,3.68,12.4,7.28,0,0,0.566578947,,0.587181929,1995,-1.8,92,285,5617,210,380,3,822,0.66,2.03,1.5,2.71,0.02,5.85,0.333333333,0.633819951,6.334164145,3.691347694,0.887804878,19.2971159,14.81313869,0.469979526,15.43206338
Erick Strickland nebraska,75,Guard,257,32,3235,361,414,434,337,0,0,1586,503,328,706,356,513,179,4,3.18,0.4,4.46,5.12,5.37,4.17,0,0,19.61,6.22,4.06,8.73,4.4,6.34,2.21,0.776847926,0.348947368,0.5041983,1995,0.9,228,28,4856,510,310,500,424,1.88,0.23,4.2,2.55,4.12,3.49,0.334,0.813679245,17.21894563,0.403953871,2.444748764,21.01495058,7.481775124,0.492368822,13.67147858
Ervin Johnson new-orleans,83,Center,109,294,3694,380,135,511,330,0,0,1608,1287,253,1081,639,0,0,4,1.18,3.18,4.11,1.46,5.53,3.57,0,0,17.41,13.94,2.74,11.71,6.92,0,0,0.645491194,,0.591066605,1992,0.8,132,445,5305,142,294,6,375,1,3.36,1.07,2.22,0.05,2.83,0.166666667,0.637333333,4.08137606,6.12803016,1.258001885,13.13869934,19.15956645,0.527271065,18.73753063
Evan Turner ohio-state,79,Guard,159,74,3314,273,414,508,385,151,531,1517,682,352,924,485,149,54,3,1.92,0.89,3.3,5,6.13,4.65,1.82,6.41,18.31,8.23,4.25,11.15,5.85,1.8,0.65,0.757706693,0.362395973,0.525061688,2009,-0.9,227,58,8859,955,561,408,703,1.02,0.26,4.31,2.53,1.84,3.17,0.332156863,0.764962038,17.37062614,0.520804944,1.303166949,20.723447,10.15094514,0.484131622,13.69047172
Felton Spencer louisville,85,Center,49,133,2464,387,95,518,350,0,0,1168,691,202,651,409,0,0,4,0.8,2.16,6.28,1.54,8.41,5.68,0,0,18.96,11.22,3.28,10.57,6.64,0,0,0.675596525,,0.628046083,1989,-3.1,139,333,7086,138,344,1,829,0.78,1.88,0.78,1.94,0.01,4.68,0,0.667068757,2.677039232,3.005038103,1.020053627,13.27246684,16.73673441,0.539081852,15.96083827
Francisco Elson california,85,Center,45,67,1488,84,30,100,51,0,0,317,288,36,279,133,0,0,2,1.21,1.8,2.26,0.81,2.69,1.37,0,0,8.52,7.74,0.97,7.5,3.58,0,0,0.51,,0.476849462,1998,-0.1,154,184,4725,168,226,11,278,1.3,1.56,1.42,1.91,0.09,2.35,0.181818182,0.669064748,5.404634921,2.86194709,1.672867725,12.76289947,13.33250794,0.53181037,16.98366138
Frank Kaminsky wisconsin,85,Center,77,153,2943,235,188,389,297,182,484,1458,666,121,734,426,279,103,4,1.05,2.08,3.19,2.56,5.29,4.04,2.47,6.58,19.82,9.05,1.64,9.98,5.79,3.79,1.4,0.763395887,0.369408602,0.580004087,2014,2.1,132,108,6252,452,241,969,605,0.84,0.69,2.89,1.54,6.2,3.87,0.34881321,0.760330578,11.46441139,1.448416507,1.065674984,20.17066539,9.8,0.527890595,8.442450416
Fred Hoiberg iowa-state,76,Guard,207,15,4278,214,350,552,466,0,0,1993,748,231,859,489,457,183,4,1.94,0.14,2,3.27,5.16,4.36,0,0,18.63,6.99,2.16,8.03,4.57,4.27,1.71,0.844173913,0.400354486,0.569299185,1994,1.3,73,10,1618,98,54,167,170,1.8,0.25,2.42,1.33,4.13,4.2,0.377245509,0.829411765,9.750679852,0.473485785,2.433868974,15.84561187,8.311063041,0.540668727,9.687824475
Fred Jones oregon,76,Guard,148,74,3527,313,367,483,389,117,229,1644,631,305,716,407,435,147,4,1.68,0.84,3.55,4.16,5.48,4.41,1.33,2.6,18.64,7.16,3.46,8.12,4.62,4.93,1.67,0.8053147,0.33802069,0.568343575,2001,2.5,187,70,5728,528,300,512,520,1.31,0.49,3.69,2.09,3.58,3.63,0.349609375,0.817307692,15.92426676,0.901501397,1.79310405,17.08732542,5.612168296,0.531669518,14.60034916
Garrett Temple louisiana-state,78,Guard,191,113,4432,355,482,258,202,107,395,901,502,293,383,180,406,113,4,1.72,1.02,3.2,4.35,2.33,1.82,0.97,3.56,8.13,4.53,2.64,3.46,1.62,3.66,1.02,0.78305814,0.278376847,0.469992167,2008,-0.6,109,40,2358,240,153,183,147,1.85,0.68,4.07,2.6,3.1,2.49,0.295315743,0.656122449,15.36532485,1.349471586,2.418863444,15.17291773,5.916741306,0.465732587,19.09882697
Gary Harris michigan-state,76,Guard,108,21,2141,141,140,240,189,67,159,1025,226,111,396,199,388,146,2,2.02,0.39,2.63,2.62,4.48,3.53,1.25,2.97,19.15,4.22,2.07,7.4,3.72,7.25,2.73,0.787541667,0.376025773,0.502681818,2013,3,329,48,7244,534,331,1049,476,1.82,0.27,2.95,1.83,5.79,2.63,0.370829361,0.802521008,11.26446715,0.514246273,2.235712314,18.31315572,4.880508007,0.569957068,10.78442849
Gary Neal towson,76,Guard,129,10,3616,231,274,624,516,86,327,2295,413,270,878,432,850,305,4,1.43,0.11,2.56,3.03,6.9,5.71,0.95,3.62,25.39,4.57,2.99,9.71,4.78,9.4,3.37,0.827004808,0.359042353,0.491920273,2006,1,102,8,5489,425,271,937,347,0.74,0.06,3.1,1.97,6.83,2.53,0.394479218,0.840506866,12.4058568,0.110402623,0.948045181,21.78486938,5.767045363,0.543044861,10.37664711
Gary Payton II oregon-state,75,Guard,175,53,2221,169,259,221,144,141,341,927,482,133,594,318,162,49,2,3.15,0.95,3.04,4.66,3.98,2.59,2.54,6.14,16.7,8.68,2.4,10.7,5.73,2.92,0.88,0.651312217,0.302074074,0.535481481,2015,-0.1,46,15,768,86,38,82,22,2.4,0.78,4.48,1.98,4.27,1.15,0.256097561,0.484545455,15.54240625,1.68196875,2.85153125,14.89982292,9.90696875,0.460881771,14.401
Gary Payton oregon-state,76,Guard,321,63,4528,415,938,491,336,0,0,2172,480,396,1228,651,482,178,4,2.84,0.56,3.67,8.29,4.34,2.97,0,0,19.19,4.24,3.5,10.85,5.75,4.26,1.57,0.684244399,0.369095436,0.530337948,1989,9.9,677,76,10222,1927,675,124,720,2.65,0.3,7.54,2.64,0.49,2.82,0.20967742,0.673611111,26.80248484,0.502973978,3.337918216,18.284054,6.243103111,0.503801996,15.86975152
Gary Trent ohio,80,Forward,60,105,3145,205,186,726,499,0,0,2108,1050,309,1321,779,69,17,3,0.76,1.34,2.61,2.37,9.23,6.35,0,0,26.81,13.35,3.93,16.8,9.91,0.88,0.22,0.687528926,0.246724638,0.58948978,1994,2.2,137,96,5859,286,381,37,817,0.94,0.66,1.95,2.6,0.25,5.58,0.106666667,0.644588907,8.858405871,1.219938556,1.223038061,22.64746202,13.30994026,0.537033999,13.12409626
George Hill iupui,74,Guard,155,29,3164,267,317,582,457,183,364,1619,547,241,790,446,223,90,4,1.96,0.37,3.38,4.01,7.36,5.78,2.31,4.6,20.47,6.92,3.05,9.99,5.64,2.82,1.14,0.784972509,0.403883408,0.564677215,2007,4.7,222,85,6968,700,326,612,770,1.27,0.49,4.02,1.87,3.51,4.42,0.375816993,0.806493507,15.71814007,0.896928817,1.672962113,18.51541332,5.969546498,0.561431401,11.68831803
George Lynch north-carolina,80,Forward,241,60,3705,386,233,482,314,0,0,1747,1097,318,1337,700,32,11,4,2.6,0.65,4.17,2.52,5.2,3.39,0,0,18.86,11.84,3.43,14.43,7.56,0.35,0.12,0.651541494,0.34378125,0.523698579,1992,1.2,263,64,4786,285,264,70,429,2.2,0.53,2.38,2.21,0.59,3.59,0.214285714,0.638694639,9.174529879,0.921082323,2.820831592,17.19312578,12.47095696,0.509487254,13.95940242
Georges Niang iowa-state,80,Forward,92,67,4110,422,421,448,342,162,552,2228,714,318,1195,661,502,188,4,0.9,0.65,4.11,4.1,4.36,3.33,1.58,5.37,21.68,6.95,3.09,11.63,6.43,4.89,1.83,0.763430804,0.374798805,0.553111297,2015,0.5,33,11,1564,87,61,346,52,0.84,0.28,2.23,1.56,8.85,1.33,0.387283237,0.826923077,8.195716113,0.532992327,0.986636829,17.65204604,8.42730179,0.574544757,9.549360614
