col_lkup,height,position,steals,blocks,minutes_played,personal_fouls,assists,free_throw_attempts,free_throws,offensive_rebounds,defensive_rebounds,points,total_rebounds,turnovers,two_point_attempts,two_pointers,three_point_attempts,three_pointers,yrs_played,steals_per_40,blocks_per_40,personal_fouls_per_40,assists_per_40,free_throw_attempts_per_40,free_throws_per_40,offensive_rebounds_per_40,defensive_rebounds_per_40,points_per_40,total_rebounds_per_40,turnovers_per_40,two_point_attempts_per_40,two_pointers_per_40,three_point_attempts_per_40,three_pointers_per_40,free_throw_percentage,three_point_percentage,two_point_percentage,max_season,nba_value_over_replacement_player,nba_steals,nba_blocks,nba_minutes_played,nba_assists,nba_turnovers,nba_attempted_three_point_field_goals,nba_attempted_free_throws,nba_steals_per_40,nba_blocks_per_40,nba_assists_per_40,nba_turnovers_per_40,nba_attempted_three_point_field_goals_per_40,nba_attempted_free_throws_per_40,nba_three_point_percentage,nba_free_throw_percentage,nba_assist_percentage,nba_block_percentage,nba_steal_percentage,nba_usage_percentage,nba_total_rebound_percentage,nba_true_shooting_percentage,nba_turnover_percentage
Richie Frahm gonzaga,77,Guard,91,19,3382,110,244,339,271,0,0,1621,486,134,529,255,662,280,4,1.08,0.22,1.3,2.89,4.01,3.21,0,0,19.17,5.75,1.58,6.26,3.02,7.83,3.31,0.799631268,0.423175227,0.481829868,1999,0.5,37,10,1473,83,35,267,63,1,0.27,2.25,0.95,7.25,1.71,0.356149983,0.804444445,9.244928717,0.501564155,1.328271555,15.61249423,6.516763069,0.544738439,6.999828921
Rick Brunson temple,76,Guard,253,10,4112,241,470,520,342,0,0,1493,481,256,644,289,649,191,4,2.46,0.1,2.34,4.57,5.06,3.33,0,0,14.52,4.68,2.49,6.26,2.81,6.31,1.86,0.657573077,0.294263482,0.448771739,1994,-0.4,51,5,1214,199,112,93,113,1.68,0.16,6.56,3.69,3.06,3.72,0.276676442,0.581710915,25.86198682,0.33461285,2.234342669,17.06202306,5.492906096,0.442246853,24.83969687
Rick Fox north-carolina,79,Forward,197,44,3180,405,323,375,284,0,0,1703,594,339,827,480,394,153,4,2.48,0.55,5.09,4.06,4.72,3.57,0,0,21.42,7.47,4.26,10.4,6.04,4.96,1.92,0.756992,0.388581218,0.580458283,1990,2.8,272,122,5752,595,436,268,638,1.89,0.85,4.14,3.03,1.86,4.44,0.339552239,0.76645768,15.11547288,1.36382128,2.37466968,20.28937761,8.721157858,0.540608484,16.14537552
Ricky Davis iowa,78,Forward,38,10,856,0,74,129,90,0,0,464,148,0,280,145,91,28,1,1.78,0.47,0,3.46,6.03,4.21,0,0,21.68,6.92,0,13.08,6.78,4.25,1.31,0.698,0.308,0.518,1997,0.8,134,40,3151,309,253,52,366,1.7,0.51,3.92,3.21,0.66,4.65,0.269230769,0.784153006,17.79555697,0.946969216,2.265915582,23.5516344,7.714535068,0.524887337,15.83094256
Robert Covington tennessee-state,81,Forward,181,150,3536,354,145,399,320,306,570,1748,876,275,878,441,431,182,4,2.05,1.7,4,1.64,4.51,3.62,3.46,6.45,19.77,9.91,3.11,9.93,4.99,4.88,2.06,0.801964912,0.422051044,0.502366743,2012,2.9,331,140,6012,304,403,1351,568,2.2,0.93,2.02,2.68,8.99,3.78,0.353811991,0.811619718,8.490768463,1.845808383,2.70655356,20.774501,10.69066866,0.543565037,14.04214904
Robert Horry alabama,81,Forward,168,286,3756,368,246,430,319,0,0,1592,929,289,901,443,348,129,4,1.79,3.05,3.92,2.62,4.58,3.4,0,0,16.95,9.89,3.08,9.6,4.72,3.71,1.37,0.74185814,0.370658046,0.491768036,1991,8.2,409,343,9408,919,575,798,613,1.74,1.46,3.91,2.44,3.39,2.61,0.355889724,0.742251223,14.45835459,2.411734694,2.201785714,16.55308248,9.423320578,0.532947704,16.45992772
Robert Pack southern-california,74,Guard,89,1,1824,0,319,279,207,0,0,766,160,0,440,230,112,33,2,1.95,0.02,0,7,6.12,4.54,0,0,16.8,3.51,0,9.65,5.04,2.46,0.72,0.742,0.294696429,0.522543182,1990,2.2,263,29,4999,1121,615,119,849,2.1,0.23,8.97,4.92,0.95,6.79,0.31092437,0.77385159,34.26863373,0.382116423,2.625585117,23.34568914,5.465613123,0.529283257,22.22634527
Robert Sacre gonzaga,85,Center,70,186,2946,306,91,614,451,241,438,1270,679,220,808,408,4,1,5,0.95,2.53,4.15,1.24,8.34,6.12,3.27,5.95,17.24,9.22,2.99,10.97,5.54,0.05,0.01,0.734193811,0.25,0.504664604,2011,-1.4,56,110,2745,126,102,1,225,0.82,1.6,1.84,1.49,0.01,3.28,0,0.671111111,6.953770492,3.067030965,1.04291439,14.94546448,11.75530055,0.474198543,10.97187614
Robert Traylor michigan,80,Center,103,97,2249,185,133,400,218,0,0,1210,745,152,876,496,1,0,3,1.83,1.73,3.29,2.37,7.11,3.88,0,0,21.52,13.25,2.7,15.58,8.82,0.02,0,0.54515,0,0.566237443,1997,0.6,142,182,3123,158,212,8,373,1.82,2.33,2.02,2.72,0.1,4.78,0.125,0.581769437,8.353025937,4.412487992,2.422766571,17.97675312,14.62862632,0.516802113,17.20951009
Robin Lopez stanford,85,Center,23,156,1626,166,51,209,128,171,205,601,376,109,460,235,2,1,2,0.57,3.84,4.08,1.25,5.14,3.15,4.21,5.04,14.78,9.25,2.68,11.32,5.78,0.05,0.02,0.612578947,0.5,0.510936957,2007,-0.3,57,199,3486,43,160,1,433,0.65,2.28,0.49,1.84,0.01,4.97,0,0.713625866,1.870654045,4.162449799,0.812535858,18.01081469,12.96001147,0.563611302,11.52880092
