hs_recruit_ranking,name
36,Theo Davis 
37,Dominic James 
38,Mike Mercer 
39,Fendi Onobun 
40,Eric Boateng 
41,Chris Douglas-Roberts
42,Uche Echefu 
43,Tiki Mayben 
44,Terrence Williams
45,Roderick Flemings 
46,Ryan Wright 
47,Tyler Smith 
48,Vernon Goodridge
49,Davon Jefferson 
50,Devan Downey 
51,Marcus Johnson 
52,Alonzo Gee
53,Martynas Pocius 
54,Jeff Adrien
55,Kevin Rogers 
56,Wilson Chandler
57,Jerel McNeal
58,Shawn Taggart 
59,Sam Young
60,Jamal Boykin 
61,Wesley Matthews
62,Bryan Harvey 
63,Derwin Kitchen 
64,Reginald Delk 
65,Wink Adams 
66,Antonio Anderson
67,Leo Lyons 
68,Terrel Harris
69,Dior Lowhorn 
70,Brian Asbury 
71,Tyrell Biggs 
72,Tyree Evans 
73,David Weaver 
74,Ricky Sanchez
75,Danny Williams
76,Kevin Swinton 
77,Andre McGee 
78,Rashad Woods 
79,Alade Aminu
80,Casaan Breeden 
81,Alfred Aboya 
82,Martellus Bennett 
83,A.J. Abrams 
84,Jeremy Pargo
85,Cyrus McGowan 
86,Gary Flowers 
87,JR Inman 
88,Nate Minnoy 
89,K.C. Rivers 
90,Terry Martin
91,Kenneth Cooper 
92,Lawrence Hill 
93,Levance Fields 
94,Adrian Thomas 
95,Denis Clemente 
96,Austin Johnson 
97,Ryan Ayers 
98,Darren Collison
99,Jared Carter 
100,Kendric Price 
1,Greg Oden
2,Kevin Durant
3,Brandan Wright
4,Spencer Hawes
5,Ty Lawson
6,Thaddeus Young
7,Chase Budinger
8,Wayne Ellington
9,Brook Lopez
10,Gerald Henderson
11,Darrell Arthur
12,Javaris Crittenton
13,Daequan Cook
14,Sherron Collins
15,Damion James
16,Vernon Macklin
17,Derrick Caracter
18,Stanley Robinson 
19,Robin Lopez
20,Lance Thomas
21,Mike Conley
22,Duke Crews 
23,Paul Harris 
24,Earl Clark
25,Brian Zoubek 
26,DaJuan Summers
27,Quincy Pondexter
28,Jon Scheyer 
29,D.J. Augustin
30,Curtis Kelly 
31,David Lighty 
32,Deshawn Sims 
33,Ramar Smith 
34,Raymar Morgan 
35,Obi Muonelo 
36,Jerome Dyson
37,Scottie Reynolds 
38,James Keefe 
39,Alex Stepheson
40,Davon Jefferson 
41,Willie Kemp 
42,Jason Bennett 
43,Deon Thompson 
44,Mike Jones 
45,Jerry Smith
46,Taj Gibson
47,Patrick Christopher
48,Tom Herzog 
49,Brian Carlwell 
50,Jamie Skeen 
51,Jon Kreft 
52,Derrick Jasper 
53,Mike Washington 
54,Wayne Chism 
55,Doug Wiggins 
56,Edgar Sosa
57,Perry Stevenson 
58,Jodie Meeks
59,Anthony Gurley 
60,Tyler Smith 
61,Marreese Speights
62,Jason Bohannon 
63,Bryan Davis 
64,Hasheem Thabeet
65,Matt Bouldin 
66,Jamil Tucker 
67,Isaiah Dahlman 
68,Keith Clark 
69,Tweety Carter 
70,Nigel Munson 
71,Phil Nelson 
72,Pierre Niles 
73,Eugene Harvey 
74,Mamadou Diarra 
75,Antonio Pena 
76,Patrick Beverley
77,Jarvis Varnado
78,Marques Johnson 
79,William Graves 
80,Adrian Oliver 
81,Leon Freeman
82,Dexter Pittman
83,Luke Harangody
84,Doneal Mack 
85,Josue Soto 
86,Jeff Allen 
87,Jonathan Mitchell 
88,Trevon Hughes 
89,Taylor Harrison 
90,Donald Sloan
91,Gilbert Brown 
92,Solomon Tat 
93,Greivis Vasquez
94,Dan Werner 
95,Jeremy Mayfield 
96,Cameron Tatum 
97,Daniel Deane 
98,Hamady N'Diaye
99,Da'Sean Butler 
100,Adrion Graves 
1,O.J. Mayo
2,Kevin Love
3,Eric Gordon
4,Michael Beasley
5,Derrick Rose
6,Kyle Singler
7,Jerryd Bayless
8,Donte Greene
9,J.J. Hickson
10,Patrick Patterson
11,Nick Calathes
12,Kosta Koufos
13,DeAndre Jordan
14,Austin Freeman 
15,Anthony Randolph
