,assist_percentage,block_percentage,defensive_rebound_percentage,free_throw_attempt_rate,offensive_rebound_percentage,steal_percentage,three_point_attempt_rate,total_rebound_percentage,true_shooting_percentage,turnover_percentage,usage_percentage,box_plus_minus,minutes_played,value_over_replacement_player,name,year,age,yrs_played,college,lkup,col_lkup
5372,12.7,1.4,15.7,0.278,6.2,1.1,0.255,11,0.529,9.3,28,0.5,2002,1.3,LaPhonso Ellis,1997,26,5,Notre Dame,LaPhonso Ellis Notre Dame,LaPhonso Ellis notre-dame
5373,15.9,1.4,18.8,0.254,6.5,1.4,0.2,12.5,0.484,13.4,22.9,-2.1,2575,-0.1,LaPhonso Ellis,1998,27,6,Notre Dame,LaPhonso Ellis Notre Dame,LaPhonso Ellis notre-dame
5374,6.8,1,18.1,0.321,5.5,0.8,0.026,11.8,0.47,13.6,21.9,-2.6,539,-0.1,LaPhonso Ellis,1999,28,7,Notre Dame,LaPhonso Ellis Notre Dame,LaPhonso Ellis notre-dame
5375,7.6,1.3,16.1,0.205,8.2,1.3,0.045,12.1,0.481,9.3,18.9,-1.9,1309,0,LaPhonso Ellis,2000,29,8,Notre Dame,LaPhonso Ellis Notre Dame,LaPhonso Ellis notre-dame
5376,7.5,2.7,17.5,0.333,11.6,1.8,0.034,14.5,0.524,12.8,19.6,-1.2,1948,0.4,LaPhonso Ellis,2001,30,9,Notre Dame,LaPhonso Ellis Notre Dame,LaPhonso Ellis notre-dame
5377,5.6,1.7,12.4,0.186,7.5,1,0.274,10,0.48,13,15.9,-2.4,1684,-0.2,LaPhonso Ellis,2002,31,10,Notre Dame,LaPhonso Ellis Notre Dame,LaPhonso Ellis notre-dame
5378,3.5,1.5,17.1,0.252,6.3,1,0.408,11.6,0.476,9.6,19.3,-2.7,784,-0.1,LaPhonso Ellis,2003,32,11,Notre Dame,LaPhonso Ellis Notre Dame,LaPhonso Ellis notre-dame
5379,20.2,2.3,18.2,0.41,6.2,1.7,0.16,12,0.521,17.6,23.5,0.6,2767,1.8,Lamar Odom,2000,20,1,Rhode Island,Lamar Odom Rhode Island,Lamar Odom rhode-island
5380,25,3,18.9,0.369,4.6,1.4,0.242,11.9,0.536,17.8,24.1,4,2836,4.3,Lamar Odom,2001,21,2,Rhode Island,Lamar Odom Rhode Island,Lamar Odom rhode-island
5381,28.6,2.5,16.2,0.258,3.6,1.2,0.233,10,0.473,19.5,22.5,1.3,999,0.8,Lamar Odom,2002,22,3,Rhode Island,Lamar Odom Rhode Island,Lamar Odom rhode-island
5382,19,1.7,17.9,0.286,4,1.3,0.211,11,0.519,16.9,22.3,-0.3,1679,0.7,Lamar Odom,2003,23,4,Rhode Island,Lamar Odom Rhode Island,Lamar Odom rhode-island
5383,20.6,1.9,24.2,0.406,6.1,1.5,0.182,15.1,0.516,15.1,24.5,2.9,3003,3.8,Lamar Odom,2004,24,5,Rhode Island,Lamar Odom Rhode Island,Lamar Odom rhode-island
5384,17.9,2.1,25,0.385,6.6,1,0.151,15.9,0.539,15.1,20.8,1.4,2320,2,Lamar Odom,2005,25,6,Rhode Island,Lamar Odom Rhode Island,Lamar Odom rhode-island
5385,22.4,1.5,20.3,0.338,6.6,1.2,0.232,13.5,0.558,16.7,18.1,2.7,3221,3.9,Lamar Odom,2006,26,7,Rhode Island,Lamar Odom Rhode Island,Lamar Odom rhode-island
5386,19.5,1.1,23.5,0.416,5.5,1.2,0.267,14.5,0.552,16.8,19.8,1.1,2202,1.7,Lamar Odom,2007,27,8,Rhode Island,Lamar Odom Rhode Island,Lamar Odom rhode-island
5387,13.8,1.8,22.7,0.413,7.8,1.3,0.142,15.6,0.582,14.2,16.5,2.3,2921,3.2,Lamar Odom,2008,28,9,Rhode Island,Lamar Odom Rhode Island,Lamar Odom rhode-island
5388,12.8,3.3,22.2,0.366,8.7,1.7,0.147,15.5,0.542,14.5,18.1,2,2316,2.4,Lamar Odom,2009,29,10,Rhode Island,Lamar Odom Rhode Island,Lamar Odom rhode-island
5389,15.6,1.7,26.5,0.273,8,1.5,0.246,17.3,0.533,15.3,17,2.5,2585,2.9,Lamar Odom,2010,30,11,Rhode Island,Lamar Odom Rhode Island,Lamar Odom rhode-island
5390,15.5,1.8,22.2,0.275,7.8,0.9,0.199,15.2,0.589,12.2,19.7,3.5,2639,3.7,Lamar Odom,2011,31,12,Rhode Island,Lamar Odom Rhode Island,Lamar Odom rhode-island
5391,12.9,1.4,18.7,0.281,4,1,0.318,11.4,0.423,11.7,20.1,-3.1,1027,-0.3,Lamar Odom,2012,32,13,Rhode Island,Lamar Odom Rhode Island,Lamar Odom rhode-island
5392,12.4,3,26.3,0.115,8.8,2.2,0.246,17.7,0.429,18.3,13.3,-0.7,1616,0.6,Lamar Odom,2013,33,14,Rhode Island,Lamar Odom Rhode Island,Lamar Odom rhode-island
5393,13.6,0.4,12.4,0.275,1.1,1.1,0.613,6.9,0.468,20.4,12.8,-5.1,395,-0.3,Lamar Patterson,2016,24,1,Pittsburgh,Lamar Patterson Pittsburgh,Lamar Patterson pittsburgh
5394,21.1,0,16.3,0.2,2.8,1.2,0.4,9.6,0.276,19.7,22.2,-11.4,40,-0.1,Lamar Patterson,2017,25,2,Pittsburgh,Lamar Patterson Pittsburgh,Lamar Patterson pittsburgh
5395,8.7,1.6,10.9,0.242,5.7,1.4,0.199,8.1,0.472,11.9,23.4,-3.4,2556,-0.9,Lamond Murray,1995,21,1,California,Lamond Murray California,Lamond Murray california
5396,7.1,1,10.6,0.23,5.8,1.7,0.202,8.1,0.513,14.6,18.2,-2.4,1816,-0.2,Lamond Murray,1996,22,2,California,Lamond Murray California,Lamond Murray california
5397,7.2,1.8,13.8,0.485,7.4,2.2,0.209,10.5,0.52,14,21.2,-0.8,1295,0.4,Lamond Murray,1997,23,3,California,Lamond Murray California,Lamond Murray california
5398,9.9,1.4,13.9,0.299,7.5,2.4,0.155,10.7,0.548,13.3,22.1,0.5,2579,1.6,Lamond Murray,1998,24,4,California,Lamond Murray California,Lamond Murray california
5399,8.7,1.1,13,0.272,5,2.4,0.178,8.7,0.473,13.3,25.7,-2.1,1317,0,Lamond Murray,1999,25,5,California,Lamond Murray California,Lamond Murray california
5400,10.1,1.1,14.2,0.263,5.9,2.2,0.136,10,0.517,13.9,24.3,-0.3,2365,1,Lamond Murray,2000,26,6,California,Lamond Murray California,Lamond Murray california
5401,10.1,0.9,12.3,0.228,5.4,2,0.178,8.9,0.49,12.2,23.5,-1.1,2225,0.5,Lamond Murray,2001,27,7,California,Lamond Murray California,Lamond Murray california
5402,12.2,1.3,14.7,0.267,4.2,1.6,0.241,9.5,0.534,11.3,24.7,0.5,2312,1.5,Lamond Murray,2002,28,8,California,Lamond Murray California,Lamond Murray california
5403,10.4,1,17,0.163,3.1,1.6,0.279,10,0.428,14.2,25.1,-3.8,518,-0.2,Lamond Murray,2004,30,9,California,Lamond Murray California,Lamond Murray california
5404,8.5,1.3,15.1,0.258,5.3,1.8,0.339,10.1,0.537,13.5,19.9,0,918,0.5,Lamond Murray,2005,31,10,California,Lamond Murray California,Lamond Murray california
5405,3.9,1,21.3,0.221,5.8,1.6,0.431,13.4,0.493,10,18,-3,576,-0.1,Lamond Murray,2006,32,11,California,Lamond Murray California,Lamond Murray california
5406,0,0,11.8,0.5,0,0,0,5.7,0.307,0,22.1,-11.1,10,0,Lance Allred,2008,26,1,Weber State ,Lance Allred Weber State ,Lance Allred weber-state
5407,17.7,0.6,8.6,0.23,2.1,2.2,0.262,5.3,0.476,21.1,17.5,-4.1,214,-0.1,Lance Blanks,1991,24,1,Texas,Lance Blanks Texas,Lance Blanks texas
5408,14.9,0.3,7.7,0.2,5.4,3.9,0.291,6.6,0.535,19,17.2,-0.4,189,0.1,Lance Blanks,1992,25,2,Texas,Lance Blanks Texas,Lance Blanks texas
5409,16.9,0.5,9.3,0.213,3.4,1.3,0.287,6.4,0.491,15.9,13.5,-3.7,642,-0.3,Lance Blanks,1993,26,3,Texas,Lance Blanks Texas,Lance Blanks texas
5410,28.3,0,16.3,0.359,1,1.8,0.128,8.7,0.41,26.2,23.5,-7.2,115,-0.2,Lance Stephenson,2011,20,1,Cincinnati,Lance Stephenson Cincinnati,Lance Stephenson cincinnati
5411,16.5,0.9,10.4,0.136,3.1,2.5,0.24,6.7,0.4,21.4,17.3,-3.7,442,-0.2,Lance Stephenson,2012,21,2,Cincinnati,Lance Stephenson Cincinnati,Lance Stephenson cincinnati
5412,16.2,0.5,12.3,0.192,2.3,1.9,0.314,7.4,0.53,14.4,15.2,0,2278,1.2,Lance Stephenson,2013,22,3,Cincinnati,Lance Stephenson Cincinnati,Lance Stephenson cincinnati
5413,22.1,0.2,18.1,0.226,4.1,1,0.28,11.4,0.564,18,19.4,1.3,2752,2.3,Lance Stephenson,2014,23,4,Cincinnati,Lance Stephenson Cincinnati,Lance Stephenson cincinnati
5414,25.4,0.4,17.1,0.2,2.7,1.2,0.191,9.7,0.419,17.6,21.1,-4.5,1573,-1,Lance Stephenson,2015,24,5,Cincinnati,Lance Stephenson Cincinnati,Lance Stephenson cincinnati
5415,16.15,0.55,15.1,0.222,3.2,1.6,0.192,9.1,0.553,16.45,20.2,-1.2,1372,0.6,Lance Stephenson,2016,25,6,Cincinnati,Lance Stephenson Cincinnati,Lance Stephenson cincinnati
5416,24.99,0.706,14.914,0.10846,1.188,0.677,0.16729,8.082,0.48978,17.27,18.866,-4.006,361,-0.6,Lance Stephenson,2017,26,7,Cincinnati,Lance Stephenson Cincinnati,Lance Stephenson cincinnati
5417,18.6,0.8,22,0.179,3.8,1.2,0.327,12.9,0.495,14.6,21.6,-1.8,1850,0.1,Lance Stephenson,2018,27,8,Cincinnati,Lance Stephenson Cincinnati,Lance Stephenson cincinnati
5418,17.3,0.5,16.5,0.169,3,1.7,0.456,9.9,0.529,15.6,20.3,-1.5,1123,0.1,Lance Stephenson,2019,28,9,Cincinnati,Lance Stephenson Cincinnati,Lance Stephenson cincinnati
5419,3,0.9,14.3,0.492,9.4,0.9,0.008,11.9,0.541,13.5,13.3,-4.3,630,-0.4,Lance Thomas,2012,23,1,Duke ,Lance Thomas Duke ,Lance Thomas duke
5420,4,0.9,13.3,0.557,8,0.9,0,10.6,0.565,9.6,10.5,-3,646,-0.2,Lance Thomas,2013,24,2,Duke ,Lance Thomas Duke ,Lance Thomas duke
5421,9.7,0,14,0.444,5.4,0,0,9.7,0.279,15.7,13.8,-9.6,42,-0.1,Lance Thomas,2014,25,3,Duke ,Lance Thomas Duke ,Lance Thomas duke
5422,7.42,0.42,9.95,0.2249,4.84,1.27,0.0486,7.36,0.4552,13.18,16.99,-5.54,1490,-2.6,Lance Thomas,2015,26,4,Duke ,Lance Thomas Duke ,Lance Thomas duke
5423,6.4,0.4,8,0.312,2.9,0.9,0.285,5.4,0.557,11.6,16.9,-3.2,1313,-0.4,Lance Thomas,2016,27,5,Duke ,Lance Thomas Duke ,Lance Thomas duke
5424,5,0.4,12.3,0.209,3.5,1.1,0.348,7.9,0.516,8.6,13.1,-3.5,968,-0.4,Lance Thomas,2017,28,6,Duke ,Lance Thomas Duke ,Lance Thomas duke
5425,4.2,0.9,10.7,0.199,3.6,1.1,0.464,7.2,0.513,12.1,10.7,-3.7,1353,-0.6,Lance Thomas,2018,29,7,Duke ,Lance Thomas Duke ,Lance Thomas duke
5426,5,0.8,13.1,0.183,2.7,1,0.401,7.8,0.482,10.1,12.9,-5.7,783,-0.7,Lance Thomas,2019,30,8,Duke ,Lance Thomas Duke ,Lance Thomas duke
5427,9,0.5,18.9,0.244,4.7,1.6,0.364,11.7,0.598,13.8,13.5,0.2,2541,1.4,Landry Fields,2011,22,1,Stanford,Landry Fields Stanford,Landry Fields stanford
5428,14.5,0.7,13.5,0.267,3.6,2.1,0.236,8.5,0.506,15.1,16,0,1894,1,Landry Fields,2012,23,2,Stanford,Landry Fields Stanford,Landry Fields stanford
5429,8.9,0.6,17.4,0.238,6.7,1.6,0.063,11.9,0.487,14.6,12.9,-1.8,1037,0.1,Landry Fields,2013,24,3,Stanford,Landry Fields Stanford,Landry Fields stanford
5430,9.3,0.7,16,0.328,5.4,1.6,0.075,10.7,0.443,12.5,12.4,-1.4,322,0.1,Landry Fields,2014,25,4,Stanford,Landry Fields Stanford,Landry Fields stanford
5431,10.1,0,8.5,0.146,5.3,2.6,0.049,6.9,0.527,15.5,10.8,-0.1,216,0.1,Landry Fields,2015,26,5,Stanford,Landry Fields Stanford,Landry Fields stanford
5432,8.999,0.444,6.446,0.1677,1.283,0.961,0.71107,3.934,0.60405,7.029,15,-1.627,1802,0.2,Landry Shamet,2019,21,1,Wichita State,Landry Shamet Wichita State,Landry Shamet wichita-state
5433,17.6,0.7,12.5,0.153,2.9,1.9,0.344,7.5,0.489,10.1,19.2,-2.3,1457,-0.1,Langston Galloway,2015,23,1,Saint Joseph's ,Langston Galloway Saint Joseph's ,Langston Galloway saint-josephs
5434,15.7,0.8,13,0.194,2.3,1.9,0.381,7.7,0.49,8.7,15.6,-1,2033,0.5,Langston Galloway,2016,24,2,Saint Joseph's ,Langston Galloway Saint Joseph's ,Langston Galloway saint-josephs
5435,9.4,0.35,9.325,0.11725,1.975,1.475,0.55225,5.625,0.5115,7.8,18.475,-2.3,1495,-0.4,Langston Galloway,2017,25,3,Saint Joseph's ,Langston Galloway Saint Joseph's ,Langston Galloway saint-josephs
5436,10.1,0.5,10.3,0.121,1.6,2,0.641,5.9,0.503,4.8,19.3,0.1,863,0.5,Langston Galloway,2018,26,4,Saint Joseph's ,Langston Galloway Saint Joseph's ,Langston Galloway saint-josephs
5437,7.3,0.4,7.9,0.164,3,1,0.647,5.4,0.534,3.7,16.1,-1.5,1745,0.2,Langston Galloway,2019,27,5,Saint Joseph's ,Langston Galloway Saint Joseph's ,Langston Galloway saint-josephs
5438,1.364,1.662,19.158,0.37595,10.074,1.576,0,14.554,0.45655,21.186,15.845,-7.02,132,-0.4,Lari Ketner,2000,22,1,Massachusetts,Lari Ketner Massachusetts,Lari Ketner massachusetts
5439,20.2,0,0,0,0,0,0,0,0,100,13.3,-15.4,7,0,Lari Ketner,2001,23,2,Massachusetts,Lari Ketner Massachusetts,Lari Ketner massachusetts
5440,16.7,1.3,12.4,0.169,1,1.6,0.288,6.7,0.386,23.1,16.2,-5.8,225,-0.2,Laron Profit,2000,22,1,Maryland,Laron Profit Maryland,Laron Profit maryland
5441,23.5,1.3,9.1,0.317,3.4,3.1,0.183,6.2,0.47,22.1,15.3,-1,605,0.2,Laron Profit,2001,23,2,Maryland,Laron Profit Maryland,Laron Profit maryland
5442,14,0.9,14.2,0.195,6.1,1.9,0.219,10,0.489,16.3,16.9,-1.9,428,0,Laron Profit,2005,27,3,Maryland,Laron Profit Maryland,Laron Profit maryland
5443,8.8,1.4,14.7,0.286,3.4,2.1,0.214,9.1,0.55,20.2,19.4,-1.8,279,0,Laron Profit,2006,28,4,Maryland,Laron Profit Maryland,Laron Profit maryland
5444,22.1,0.2,7.1,0.157,1.1,1.8,0.211,4.2,0.511,18.8,16.2,-1.8,1333,0.1,Larry Drew,1990,31,1,UCLA ,Larry Drew UCLA ,Larry Drew ucla
5445,32.4,0.1,6.5,0.176,1.2,1.5,0.264,4,0.516,26.7,16.1,-1.9,496,0,Larry Drew,1991,32,2,UCLA ,Larry Drew UCLA ,Larry Drew ucla
5446,33.9,0,7.3,0.052,0.5,1.4,0.448,3.7,0.388,29.6,16.8,-9.9,219,-0.4,Larry Drew II,2015,24,1,UCLA ,Larry Drew II UCLA ,Larry Drew II ucla
5447,18.522,0,0,0,4.814,0,0.36896,2.336,0.37842,10.92,16.638,-8.933,70,-0.2,Larry Drew II,2018,27,2,UCLA ,Larry Drew II UCLA ,Larry Drew II ucla
5448,15.3,1.1,12.7,0.365,9.6,2.4,0.126,11.1,0.474,12.4,25.2,1.5,988,0.9,Larry Hughes,1999,20,1,Saint Louis,Larry Hughes Saint Louis,Larry Hughes saint-louis
5449,15.8,0.9,11.408,0.3276,5.04,2.476,0.10932,8.04,0.4678,13.048,27.82,-0.872,2324,1.4,Larry Hughes,2000,21,2,Saint Louis,Larry Hughes Saint Louis,Larry Hughes saint-louis
5450,21,1.1,12.5,0.313,4,2.7,0.093,7.9,0.449,14.2,24.4,-1.4,1846,0.3,Larry Hughes,2001,22,3,Saint Louis,Larry Hughes Saint Louis,Larry Hughes saint-louis
5451,26.1,0.8,8.7,0.32,4.2,2.8,0.115,6.4,0.484,15.6,22.5,0.3,2049,1.2,Larry Hughes,2002,23,4,Saint Louis,Larry Hughes Saint Louis,Larry Hughes saint-louis
5452,17.5,0.8,13.4,0.251,3.7,2.2,0.107,8.5,0.521,14.2,21.2,0.2,2137,1.2,Larry Hughes,2003,24,5,Saint Louis,Larry Hughes Saint Louis,Larry Hughes saint-louis
5453,14.3,0.9,12.9,0.332,5.1,2.4,0.23,8.9,0.496,11.6,28.1,0.9,2061,1.5,Larry Hughes,2004,25,6,Saint Louis,Larry Hughes Saint Louis,Larry Hughes saint-louis
5454,21.9,0.6,15.2,0.417,3.4,3.8,0.192,9.1,0.523,10.6,26.6,4.3,2358,3.7,Larry Hughes,2005,26,7,Saint Louis,Larry Hughes Saint Louis,Larry Hughes saint-louis
5455,17.5,1.3,12.6,0.412,2.4,2.2,0.162,7.4,0.504,15.2,23.6,-1.3,1281,0.2,Larry Hughes,2006,27,8,Saint Louis,Larry Hughes Saint Louis,Larry Hughes saint-louis
5456,16.4,0.8,10.4,0.324,1.8,1.8,0.233,6,0.48,12.4,21.7,-0.8,2596,0.8,Larry Hughes,2007,28,9,Saint Louis,Larry Hughes Saint Louis,Larry Hughes saint-louis
5457,15.02,0.66,11.1,0.2348,2.14,2.56,0.2428,6.46,0.4678,11.56,22.24,-2.34,2020,-0.4,Larry Hughes,2008,29,10,Saint Louis,Larry Hughes Saint Louis,Larry Hughes saint-louis
5458,12.544,0.662,11.044,0.26002,1.176,2.438,0.34664,6.064,0.51534,10.282,20.618,-0.436,1479,1.2,Larry Hughes,2009,30,11,Saint Louis,Larry Hughes Saint Louis,Larry Hughes saint-louis
5459,18.982,1.026,12.442,0.2921,2.382,2.422,0.3597,7.314,0.47144,14.684,20.868,-1.878,1115,0,Larry Hughes,2010,31,12,Saint Louis,Larry Hughes Saint Louis,Larry Hughes saint-louis
5460,9.2,0,4.1,0.091,1,0.9,0.318,2.5,0.262,34.4,14.3,-11.9,114,-0.3,Larry Hughes,2012,33,13,Saint Louis,Larry Hughes Saint Louis,Larry Hughes saint-louis
5461,13.5,1,20.7,0.325,11.2,1.3,0.017,15.9,0.548,10,21.2,1.4,3047,2.6,Larry Johnson,1992,22,1,Nevada-Las Vegas,Larry Johnson Nevada-Las Vegas,Larry Johnson nevada-las-vegas
5462,15.9,0.5,18,0.316,9.6,0.8,0.051,14,0.574,12.6,22.4,2.1,3323,3.5,Larry Johnson,1993,23,2,Nevada-Las Vegas,Larry Johnson Nevada-Las Vegas,Larry Johnson nevada-las-vegas
5463,16,0.5,18.6,0.293,9.3,0.8,0.031,14.1,0.55,13.3,21.2,0.3,1757,1,Larry Johnson,1994,24,3,Nevada-Las Vegas,Larry Johnson Nevada-Las Vegas,Larry Johnson nevada-las-vegas
5464,19.4,0.6,13.8,0.29,7.3,1.3,0.172,10.7,0.555,13.1,22.6,2,3234,3.2,Larry Johnson,1995,25,4,Nevada-Las Vegas,Larry Johnson Nevada-Las Vegas,Larry Johnson nevada-las-vegas
5465,18,1,16.4,0.46,9,0.9,0.149,12.7,0.563,11,22.9,2.8,3274,3.9,Larry Johnson,1996,26,5,Nevada-Las Vegas,Larry Johnson Nevada-Las Vegas,Larry Johnson nevada-las-vegas
5466,11.4,1.1,10.1,0.373,7.9,1.3,0.143,9,0.57,13.7,17.5,1.3,2613,2.2,Larry Johnson,1997,27,6,Nevada-Las Vegas,Larry Johnson Nevada-Las Vegas,Larry Johnson nevada-las-vegas
5467,11.4,0.4,11.3,0.32,8.7,0.9,0.071,10,0.539,11.2,22.1,0.6,2412,1.6,Larry Johnson,1998,28,7,Nevada-Las Vegas,Larry Johnson Nevada-Las Vegas,Larry Johnson nevada-las-vegas
5468,13.5,0.5,13.4,0.358,6.8,1.1,0.201,10.2,0.554,14.4,18.1,1.2,1639,1.3,Larry Johnson,1999,29,8,Nevada-Las Vegas,Larry Johnson Nevada-Las Vegas,Larry Johnson nevada-las-vegas
5469,12.6,0.2,14.8,0.256,4.7,1,0.267,9.9,0.517,11.5,17,0.7,2281,1.6,Larry Johnson,2000,30,9,Nevada-Las Vegas,Larry Johnson Nevada-Las Vegas,Larry Johnson nevada-las-vegas
5470,10.5,1.1,15.2,0.214,5.3,1,0.273,10.4,0.493,12.9,17.4,-0.1,2105,1,Larry Johnson,2001,31,10,Nevada-Las Vegas,Larry Johnson Nevada-Las Vegas,Larry Johnson nevada-las-vegas
5471,5.7,1.4,18.6,0.157,8.3,2.1,0.033,13.3,0.544,11.3,12.6,-1.5,1266,0.2,Larry Nance Jr.,2016,23,1,Wyoming,Larry Nance Jr. Wyoming,Larry Nance Jr. wyoming
5472,9.7,2.2,19.6,0.222,8.8,2.8,0.1,14,0.567,12.4,13.4,0.6,1442,1,Larry Nance Jr.,2017,24,2,Wyoming,Larry Nance Jr. Wyoming,Larry Nance Jr. wyoming
5473,8.64,2.255,22.055,0.33315,12.425,2.995,0.0279,17.275,0.60645,9.815,15.895,2.33,1421,3,Larry Nance Jr.,2018,25,3,Wyoming,Larry Nance Jr. Wyoming,Larry Nance Jr. wyoming
5474,17.8,1.9,24.9,0.28,10,2.8,0.205,17.1,0.583,15.3,15.5,2.4,1795,2,Larry Nance Jr.,2019,26,4,Wyoming,Larry Nance Jr. Wyoming,Larry Nance Jr. wyoming
5475,8.422,2.652,11.48,0.2965,0.78,3.244,0.4103,6.018,0.5566,11.778,12.748,0.562,143,0.2,Larry Owens,2011,28,1,Oral Roberts ,Larry Owens Oral Roberts ,Larry Owens oral-roberts
5476,8.1,1,17.5,0.364,3,0,0.455,10.1,0.509,13.6,9,-4.6,75,0,Larry Owens,2012,29,2,Oral Roberts ,Larry Owens Oral Roberts ,Larry Owens oral-roberts
5477,11.44,0.12,5.68,0.1808,7.48,1.84,0.0066,6.6,0.4294,14.02,18.18,-4.8,425,-0.6,Larry Robinson,1991,23,1,Centenary ,Larry Robinson Centenary ,Larry Robinson centenary-la
5478,22.9,0,0,0,38.5,0,0,18.3,0.2,16.7,43,-25.9,6,0,Larry Robinson,1992,24,2,Centenary ,Larry Robinson Centenary ,Larry Robinson centenary-la
5479,13.9,1.8,7,0.313,3.3,1.5,0.063,5.1,0.412,5.2,24.7,-3.1,33,0,Larry Robinson,1993,25,3,Centenary ,Larry Robinson Centenary ,Larry Robinson centenary-la
5480,17.4,0,11.5,0.4,8.6,6.4,0.4,10.1,0.531,29.8,27,-2.9,55,0,Larry Robinson,1994,26,4,Centenary ,Larry Robinson Centenary ,Larry Robinson centenary-la
5481,4,0,28,0.105,5.6,5.1,0.316,16.8,0.428,9.1,23.7,-2.4,41,0,Larry Robinson,1998,30,5,Centenary ,Larry Robinson Centenary ,Larry Robinson centenary-la
5482,9.2,0.2,11.4,0.13,4,2.3,0.63,7.7,0.511,11,15.5,1,632,1,Larry Robinson,2001,33,6,Centenary ,Larry Robinson Centenary ,Larry Robinson centenary-la
5483,0,0,23.2,0,0,0,0.5,11.6,0.375,0,18.6,-8.1,10,0,Larry Robinson,2002,34,7,Centenary ,Larry Robinson Centenary ,Larry Robinson centenary-la
5484,3.2,6.5,16.3,0.187,7.7,1.3,0,11.9,0.448,11.6,17.6,-3.5,872,-0.3,Larry Sanders,2011,22,1,Virginia Commonwealth,Larry Sanders Virginia Commonwealth,Larry Sanders virginia-commonwealth
5485,7.8,8.9,17.3,0.207,10.3,2.5,0.011,13.7,0.463,17.6,16.7,-1.9,643,0,Larry Sanders,2012,23,2,Virginia Commonwealth,Larry Sanders Virginia Commonwealth,Larry Sanders virginia-commonwealth
5486,6.8,7.6,25.8,0.225,12,1.4,0.003,18.6,0.523,11.6,16.9,1,1937,1.5,Larry Sanders,2013,24,3,Virginia Commonwealth,Larry Sanders Virginia Commonwealth,Larry Sanders virginia-commonwealth
5487,5.3,5.6,21.3,0.34,11.4,1.6,0.006,16.2,0.478,12.3,16.4,-3,584,-0.1,Larry Sanders,2014,25,4,Virginia Commonwealth,Larry Sanders Virginia Commonwealth,Larry Sanders virginia-commonwealth
5488,6.3,5.6,19.2,0.279,13.2,2.3,0,16.2,0.507,12.7,17,-1,586,0.2,Larry Sanders,2015,26,5,Virginia Commonwealth,Larry Sanders Virginia Commonwealth,Larry Sanders virginia-commonwealth
5489,0,6.2,8.2,0.5,26.3,3.8,0,17,0.41,29.1,23.6,-15,13,0,Larry Sanders,2017,28,6,Virginia Commonwealth,Larry Sanders Virginia Commonwealth,Larry Sanders virginia-commonwealth
5490,7.6,1.2,13.2,0.395,8.9,1.1,0.005,11,0.573,13.9,15.2,-1.5,2229,0.3,Larry Stewart,1992,23,1,Coppin State ,Larry Stewart Coppin State ,Larry Stewart coppin-state
5491,12,1,14.4,0.449,9.3,1.3,0.004,11.8,0.589,18.5,19.3,-1.6,1823,0.2,Larry Stewart,1993,24,2,Coppin State ,Larry Stewart Coppin State ,Larry Stewart coppin-state
5492,7.9,1.8,20.4,1.25,3.3,2.9,0,11.7,0.524,13.9,17.7,-0.6,35,0,Larry Stewart,1994,25,3,Coppin State ,Larry Stewart Coppin State ,Larry Stewart coppin-state
5493,7.6,1.8,13.5,0.337,9,2.3,0.022,11.2,0.499,13.5,14.9,-2.3,346,0,Larry Stewart,1995,26,4,Coppin State ,Larry Stewart Coppin State ,Larry Stewart coppin-state
5494,8.2,2,11.8,0.369,9.3,1.7,0.147,10.5,0.512,17.7,16.6,-3.1,982,-0.3,Larry Stewart,1997,28,5,Coppin State ,Larry Stewart Coppin State ,Larry Stewart coppin-state
5495,0,0,57.4,0,54.7,0,0,56,0,100,21.5,-17.7,2,0,Larry Sykes,1996,22,1,Xavier ,Larry Sykes Xavier ,Larry Sykes xavier
5496,15.2,1.2,7.8,0.292,3.2,2.2,0.205,5.5,0.541,15.7,19.3,0.2,2741,1.5,Latrell Sprewell,1993,22,1,Alabama,Latrell Sprewell Alabama,Latrell Sprewell alabama
5497,15.3,1.3,9.7,0.322,2.5,2.5,0.276,6.1,0.532,12.3,21.5,1.9,3533,3.5,Latrell Sprewell,1994,23,2,Alabama,Latrell Sprewell Alabama,Latrell Sprewell alabama
5498,16,1.1,8,0.383,2.3,2,0.278,5.1,0.519,14.4,24.4,-1.2,2771,0.5,Latrell Sprewell,1995,24,3,Alabama,Latrell Sprewell Alabama,Latrell Sprewell alabama
5499,17.7,1.1,9.7,0.371,4.6,2.1,0.235,7.1,0.527,13.7,23,0.7,3064,2.1,Latrell Sprewell,1996,25,4,Alabama,Latrell Sprewell Alabama,Latrell Sprewell alabama
5500,27,1,10.9,0.405,2.1,2.1,0.287,6.5,0.57,15.9,26.9,2.7,3353,4,Latrell Sprewell,1997,26,5,Alabama,Latrell Sprewell Alabama,Latrell Sprewell alabama
5501,24.1,0.6,8.8,0.339,1.3,1.8,0.173,5,0.47,12.1,28.9,0,547,0.3,Latrell Sprewell,1998,27,6,Alabama,Latrell Sprewell Alabama,Latrell Sprewell alabama
5502,15,0.1,10.6,0.369,4.1,2.1,0.149,7.5,0.503,11.6,26.5,1.3,1233,1.1,Latrell Sprewell,1999,28,7,Alabama,Latrell Sprewell Alabama,Latrell Sprewell alabama
5503,18.2,0.5,10.5,0.304,1.8,1.8,0.097,6.3,0.515,13.2,24.7,1,3276,2.5,Latrell Sprewell,2000,29,8,Alabama,Latrell Sprewell Alabama,Latrell Sprewell alabama
