,assist_percentage,block_percentage,defensive_rebound_percentage,free_throw_attempt_rate,offensive_rebound_percentage,steal_percentage,three_point_attempt_rate,total_rebound_percentage,true_shooting_percentage,turnover_percentage,usage_percentage,box_plus_minus,minutes_played,value_over_replacement_player,name,year,age,yrs_played,college,lkup,col_lkup
63,23.4,0.4,10.9,0.432,1.3,1.1,0.209,6.1,0.49,14.9,16.3,-2.9,560,-0.1,Acie Law,2009,24,2,Texas A&M,Acie Law Texas A&M,Acie Law texas-am
64,17.576,0.35,6.618,0.7092,1.45,2.298,0.2236,4.092,0.60562,14.46,21.752,-1.014,234,0,Acie Law,2010,25,3,Texas A&M,Acie Law Texas A&M,Acie Law texas-am
65,16.342,0,8.212,0.34939,1.886,2.2,0.19768,4.999,0.49612,16.676,15.652,-3.98,726,-0.8,Acie Law,2011,26,4,Texas A&M,Acie Law Texas A&M,Acie Law texas-am
66,17.984,0.66,7.541,0.10594,1.005,0.931,0.42658,4.139,0.40649,3.333,16.427,-5.204,111,-0.2,Adam Harrington,2003,22,1,Auburn ,Adam Harrington Auburn ,Adam Harrington auburn
67,7,0.7,19.5,0.63,11.8,1.8,0.003,15.5,0.564,17.2,15.5,-2.2,1549,-0.1,Adam Keefe,1993,22,1,Stanford,Adam Keefe Stanford,Adam Keefe stanford
68,6.4,0.8,17.9,0.521,11.1,1.3,0,14.5,0.521,18.6,18.1,-3.5,763,-0.3,Adam Keefe,1994,23,2,Stanford,Adam Keefe Stanford,Adam Keefe stanford
69,3.5,1.6,18,0.581,14,1.5,0,16.1,0.616,14.2,15.6,-0.4,1270,0.5,Adam Keefe,1995,24,3,Stanford,Adam Keefe Stanford,Adam Keefe stanford
70,5.5,2,19.5,0.581,13,1.6,0.012,16.3,0.574,16.8,14,-0.6,1708,0.6,Adam Keefe,1996,25,4,Stanford,Adam Keefe Stanford,Adam Keefe stanford
71,5,1.2,18.2,0.644,10.9,1.7,0.006,14.7,0.572,18,12.7,-1,915,0.2,Adam Keefe,1997,26,5,Stanford,Adam Keefe Stanford,Adam Keefe stanford
72,6.7,0.9,14.8,0.472,11.6,1.4,0,13.3,0.605,12.2,13.2,0.6,2047,1.3,Adam Keefe,1998,27,6,Stanford,Adam Keefe Stanford,Adam Keefe stanford
73,7.2,1.4,16.1,0.718,10.5,1.4,0.032,13.5,0.533,16.8,14.6,-0.8,642,0.2,Adam Keefe,1999,28,7,Stanford,Adam Keefe Stanford,Adam Keefe stanford
