,assist_percentage,block_percentage,defensive_rebound_percentage,free_throw_attempt_rate,offensive_rebound_percentage,steal_percentage,three_point_attempt_rate,total_rebound_percentage,true_shooting_percentage,turnover_percentage,usage_percentage,box_plus_minus,minutes_played,value_over_replacement_player,name,year,age,yrs_played
894,7.7,1.4,21.8,0.133,11.0,1.4,0.005,16.5,0.492,14.8,15.1,-1.0,1617,0.4,Antonio McDyess,2010,35,14
895,9.0,2.0,22.3,0.224,10.5,1.3,0.003,16.5,0.516,16.0,14.9,-0.7,1387,0.4,Antonio McDyess,2011,36,15
896,5.3,2.4,12.9,0.192,8.7,1.5,0.221,10.8,0.479,15.7,19.0,-3.4,320,-0.1,Antonis Fotsis,2002,20,1
897,2.178,3.5840000000000005,10.244000000000002,0.286,2.6340000000000003,2.85,0.19272,6.356,0.48972000000000004,20.650000000000002,11.156,-5.2379999999999995,123,-0.2,Antonius Cleveland,2018,23,1
898,5.7,1.6,13.0,0.329,5.3,1.9,0.216,9.2,0.507,18.7,19.4,-3.2,533,-0.2,Archie Goodwin,2014,19,1
899,12.6,1.3,9.7,0.413,5.5,1.7,0.204,7.6,0.486,16.8,23.4,-3.4,535,-0.2,Archie Goodwin,2015,20,2
900,17.2,1.0,11.5,0.457,2.6,1.2,0.235,6.9,0.498,16.5,23.2,-3.7,1114,-0.5,Archie Goodwin,2016,21,3
901,18.518,1.7540000000000002,10.234,0.7315,3.526,0.86,0.23918,6.965999999999999,0.6561,13.501999999999999,19.748,1.838,214,0.4,Archie Goodwin,2017,22,4
902,13.445999999999998,0.0,23.498,0.415,7.635999999999999,0.0,0.0,15.433,0.25481,14.11,10.393999999999998,-5.215,30,0.0,Arinze Onuaku,2014,26,1
903,10.2,3.5,24.3,0.571,11.4,0.7,0.0,17.7,0.771,10.2,12.7,1.4,68,0.1,Arinze Onuaku,2015,27,2
904,9.9,2.9,16.0,0.0,7.6,0.0,0.0,11.7,0.5,33.3,9.4,-6.4,28,0.0,Arinze Onuaku,2017,29,3
917,28.1,0.3,11.5,0.218,4.7,1.0,0.119,7.9,0.497,25.6,25.1,-5.1,277,-0.2,Armon Johnson,2011,21,1
918,16.032,0.0,11.511999999999999,0.13727999999999999,0.864,2.148,0.06815999999999998,6.132,0.52384,11.696,19.068,-1.724,124,0.0,Armon Johnson,2012,22,2
919,2.9,1.4,14.8,0.209,15.4,1.7,0.0,15.1,0.595,11.5,14.1,-1.2,542,0.1,Arnett Moultrie,2013,22,1
920,1.5,1.7,14.4,0.132,6.1,2.1,0.0,10.1,0.448,14.8,10.7,-7.3,187,-0.3,Arnett Moultrie,2014,23,2
921,5.2,3.1,15.5,0.333,10.4,0.4,0.028,13.1,0.521,21.0,17.1,-7.0,141,-0.2,Aron Baynes,2013,26,1
922,9.9,0.7,19.4,0.129,13.6,0.2,0.0,16.6,0.467,17.3,19.2,-5.7,491,-0.5,Aron Baynes,2014,27,2
923,4.9,1.5,20.7,0.318,11.2,0.7,0.012,16.1,0.618,14.8,17.8,-1.8,1122,0.1,Aron Baynes,2015,28,3
924,6.6,3.2,22.5,0.43,11.9,0.9,0.005,17.0,0.563,12.8,18.5,-0.2,1233,0.6,Aron Baynes,2016,29,4
925,3.9,2.8,21.6,0.337,10.0,0.7,0.0,15.6,0.57,13.5,14.1,-2.7,1163,-0.2,Aron Baynes,2017,30,5
926,9.6,2.9,22.1,0.175,9.7,0.7,0.047,16.0,0.502,14.3,16.8,-2.9,1485,-0.3,Aron Baynes,2018,31,6
927,9.3,3.7,19.8,0.278,11.4,0.7,0.274,15.6,0.567,13.8,15.2,-1.5,821,0.1,Aron Baynes,2019,32,7
928,8.1,0.7,12.5,0.361,4.4,1.8,0.199,8.4,0.494,10.9,15.2,-1.5,970,0.1,Arron Afflalo,2008,22,1
929,5.5,0.8,10.1,0.237,2.8,1.3,0.357,6.4,0.548,11.5,14.5,-2.6,1234,-0.2,Arron Afflalo,2009,23,2
