name,comp,score,rank
Killian Tillie,Jeremy Evans western-kentucky,0.68,1
Killian Tillie,Matt Bullard iowa,0.68,2
Killian Tillie,Frank Kaminsky wisconsin,0.65,3
Killian Tillie,Brian Cook illinois,0.63,4
Killian Tillie,Chris Mills arizona,0.63,5
Kira LewisJr,Mo Williams alabama,0.93,1
Kira LewisJr,Trey Burke michigan,0.93,2
Kira LewisJr,Jordan Farmar ucla,0.9,3
Kira LewisJr,Chris Whitney clemson,0.87,4
Kira LewisJr,Shane Larkin miami-fl,0.86,5
Kristian Doolittle,Jason Collier georgia-tech,0.78,1
Kristian Doolittle,Dan Langhi vanderbilt,0.71,2
Kristian Doolittle,Sean Marks california,0.71,3
Kristian Doolittle,James Jones miami-fl,0.69,4
Kristian Doolittle,Rodney McGruder kansas-state,0.63,5
Lamar Stevens,Ansu Sesay mississippi,0.78,1
Lamar Stevens,Todd Fuller north-carolina-state,0.73,2
Lamar Stevens,Alec Kessler georgia,0.68,3
Lamar Stevens,Michael Doleac utah,0.67,4
Lamar Stevens,Pat Garrity notre-dame,0.67,5
Lamine Diane,Lee Nailon texas-christian,0.86,1
Lamine Diane,Cedric Ceballos cal-state-fullerton,0.81,2
Lamine Diane,Blake Griffin oklahoma,0.77,3
Lamine Diane,Eric Williams providence,0.76,4
Lamine Diane,Joe Smith maryland,0.74,5
Malachi Flynn,Shelvin Mack butler,0.95,1
Malachi Flynn,Luke Ridnour oregon,0.94,2
Malachi Flynn,Jon Barry georgia-tech,0.89,3
Malachi Flynn,Reggie Jackson boston-college,0.85,4
Malachi Flynn,Ben Gordon connecticut,0.84,5
Malik Fitts,DaJuan Summers georgetown,0.85,1
Malik Fitts,Hollis Thompson georgetown,0.81,2
Malik Fitts,Kelenna Azubuike kentucky,0.81,3
Malik Fitts,Josh Childress stanford,0.71,4
Malik Fitts,Nick Young southern-california,0.7,5
Markus Howard,Allan Houston tennessee,0.94,1
Markus Howard,Gary Neal towson,0.94,2
Markus Howard,Michael Finley wisconsin,0.94,3
Markus Howard,Terry Dehere seton-hall,0.93,4
Markus Howard,Damian Lillard weber-state,0.92,5
Mason Jones,Chauncey Billups colorado,0.75,1
Mason Jones,Elliot Williams memphis,0.71,2
Mason Jones,James Harden arizona-state,0.67,3
Mason Jones,Jeff Teague wake-forest,0.67,4
Mason Jones,Jannero Pargo arkansas,0.63,5
Myles Powell,Voshon Lenard minnesota,0.95,1
Myles Powell,Buddy Hield oklahoma,0.91,2
Myles Powell,Gary Neal towson,0.91,3
Myles Powell,Terry Dehere seton-hall,0.87,4
Myles Powell,Sean Kilpatrick cincinnati,0.86,5
Naji Marshall,Damon Jones houston,0.84,1
Naji Marshall,Reggie Jackson boston-college,0.8,2
Naji Marshall,Shelvin Mack butler,0.79,3
Naji Marshall,Jimmy Oliver purdue,0.78,4
Naji Marshall,Deron Williams illinois,0.76,5
Nate Darling,Allen Crabbe california,0.93,1
Nate Darling,Chase Budinger arizona,0.93,2
Nate Darling,Tony Snell new-mexico,0.93,3
Nate Darling,Arron Afflalo ucla,0.92,4
Nate Darling,Jimmy Oliver purdue,0.91,5
Nate Hinton,Patrick Beverley arkansas,0.8,1
Nate Hinton,Paul George fresno-state,0.79,2
Nate Hinton,Terry Rozier louisville,0.7,3
Nate Hinton,Kentavious Caldwell-Pope georgia,0.61,4
Nate Hinton,Daniel Gibson texas,0.6,5
Nathan Knight,Byron Houston oklahoma-state,0.87,1
Nathan Knight,Kurt Thomas texas-christian,0.86,2
Nathan Knight,Kenny Thomas new-mexico,0.83,3
Nathan Knight,Jason Thompson rider,0.82,4
Nathan Knight,Rich King nebraska,0.81,5
Nico Mannion,Tyus Jones duke,0.93,1
Nico Mannion,Tyler Ennis syracuse,0.9,2
Nico Mannion,Brandon Knight kentucky,0.88,3
Nico Mannion,Jamal Crawford michigan,0.88,4
Nico Mannion,Rafer Alston fresno-state,0.86,5
Omer Yurtseven,Tony Battie texas-tech,0.85,1
Omer Yurtseven,Marcus Haislip tennessee,0.84,2
Omer Yurtseven,Markieff Morris kansas,0.8,3
Omer Yurtseven,Maurice Taylor michigan,0.8,4
Omer Yurtseven,Larry Sanders virginia-commonwealth,0.79,5
Patrick Williams,Ben McLemore kansas,0.58,1
Patrick Williams,Xavier Henry kansas,0.58,2
Patrick Williams,Myles Turner texas,0.55,3
Patrick Williams,Malik Beasley florida-state,0.53,4
Patrick Williams,Devin Booker kentucky,0.52,5
Paul Reed,Tony Battie texas-tech,0.81,1
Paul Reed,Richaun Holmes bowling-green-state,0.77,2
Paul Reed,Gorgui Dieng louisville,0.74,3
Paul Reed,Andre Roberson colorado,0.7,4
Paul Reed,Larry Sanders virginia-commonwealth,0.7,5
Payton Pritchard,Aaron Brooks oregon,0.97,1
Payton Pritchard,Quinn Cook duke,0.97,2
Payton Pritchard,Dee Brown illinois,0.96,3
Payton Pritchard,Andre Barrett seton-hall,0.95,4
Payton Pritchard,Matthew Dellavedova saint-marys-ca,0.95,5
Precious Achiuwa,DeMarcus Cousins kentucky,0.8,1
Precious Achiuwa,Anthony Bennett nevada-las-vegas,0.74,2
Precious Achiuwa,Jabari Parker duke,0.74,3
Precious Achiuwa,Kris Humphries minnesota,0.74,4
Precious Achiuwa,Shareef Abdur-Rahim california,0.74,5
Rayshaun Hammonds,Hollis Thompson georgetown,0.72,1
Rayshaun Hammonds,DaJuan Summers georgetown,0.59,2
Rayshaun Hammonds,Markieff Morris kansas,0.59,3
Rayshaun Hammonds,Bobby Simmons depaul,0.56,4
Rayshaun Hammonds,Josh Childress stanford,0.56,5
Reggie Perry,Domantas Sabonis gonzaga,0.83,1
Reggie Perry,Al-Farouq Aminu wake-forest,0.81,2
Reggie Perry,Jared Sullinger ohio-state,0.79,3
Reggie Perry,Charlie Villanueva connecticut,0.77,4
Reggie Perry,James Singleton murray-state,0.73,5
Saben Lee,Jalen Rose michigan,0.88,1
Saben Lee,Isaiah Thomas washington,0.87,2
Saben Lee,Milt Palacio colorado-state,0.85,3
Saben Lee,Jarrett Jack georgia-tech,0.84,4
Saben Lee,Ty Lawson north-carolina,0.83,5
Saddiq Bey,Rodney Hood duke,0.91,1
Saddiq Bey,Sonny Weems arkansas,0.79,2
Saddiq Bey,Jeremy Lamb connecticut,0.75,3
Saddiq Bey,Nik Stauskas michigan,0.71,4
Saddiq Bey,Patrick Beverley arkansas,0.71,5
Sam Merrill,Shammond Williams north-carolina,0.9,1
Sam Merrill,John Lucas III oklahoma-state,0.89,2
Sam Merrill,Quinn Cook duke,0.88,3
Sam Merrill,Aaron Brooks oregon,0.87,4
Sam Merrill,Brian Roberts dayton,0.86,5
Skylar Mays,Chris Quinn notre-dame,0.88,1
Skylar Mays,John Lucas III oklahoma-state,0.88,2
Skylar Mays,Darren Collison ucla,0.87,3
Skylar Mays,Quinn Cook duke,0.87,4
Skylar Mays,Steve Henson kansas-state,0.84,5
Tre Jones,Jordan Farmar ucla,0.94,1
Tre Jones,Kendall Marshall north-carolina,0.93,2
Tre Jones,Randy Livingston louisiana-state,0.93,3
Tre Jones,Anthony Goldwire houston,0.92,4
Tre Jones,Michael Carter-Williams syracuse,0.92,5
Trent Forrest,Jason Hart syracuse,0.89,1
Trent Forrest,Randy Brown new-mexico-state,0.89,2
Trent Forrest,Tate George connecticut,0.89,3
Trent Forrest,Chris Duhon duke,0.88,4
Trent Forrest,Charlie Ward florida-state,0.87,5
Tres Tinkle,Shawn Respert michigan-state,0.68,1
Tres Tinkle,Tim Frazier penn-state,0.19,2
Tres Tinkle,Greg Anthony nevada-las-vegas,0.16,3
Tres Tinkle,Morris Peterson michigan-state,0.0,4
Tres Tinkle,Mike Scott virginia,-0.29,5
Trevelin Queen,Jannero Pargo arkansas,0.77,1
Trevelin Queen,Patrick McCaw nevada-las-vegas,0.77,2
Trevelin Queen,Will Barton memphis,0.74,3
Trevelin Queen,James Ennis long-beach-state,0.72,4
Trevelin Queen,Dion Waiters syracuse,0.69,5
Ty-Shon Alexander,Tony Snell new-mexico,0.93,1
Ty-Shon Alexander,Allen Crabbe california,0.9,2
Ty-Shon Alexander,Shelvin Mack butler,0.89,3
Ty-Shon Alexander,Chase Budinger arizona,0.88,4
Ty-Shon Alexander,Wayne Ellington north-carolina,0.88,5
Tyler Bey,Paul Millsap louisiana-tech,0.84,1
Tyler Bey,Tony Battie texas-tech,0.83,2
Tyler Bey,Glen Davis louisiana-state,0.78,3
Tyler Bey,Richaun Holmes bowling-green-state,0.77,4
Tyler Bey,Chris Mihm texas,0.73,5
Tyrell Terry,Brandon Knight kentucky,0.8,1
Tyrell Terry,Tyus Jones duke,0.8,2
Tyrell Terry,Jamal Crawford michigan,0.7,3
Tyrell Terry,Ben McLemore kansas,0.65,4
Tyrell Terry,Jerryd Bayless arizona,0.65,5
Tyrese Haliburton,Patrick McCaw nevada-las-vegas,0.84,1
Tyrese Haliburton,Jason Williams florida,0.81,2
Tyrese Haliburton,Shane Larkin miami-fl,0.78,3
Tyrese Haliburton,Will Barton memphis,0.77,4
Tyrese Haliburton,James Ennis long-beach-state,0.7,5
Tyrese Maxey,Brandon Knight kentucky,0.81,1
Tyrese Maxey,Tyus Jones duke,0.74,2
Tyrese Maxey,Jamal Crawford michigan,0.69,3
Tyrese Maxey,Cory Joseph texas,0.68,4
Tyrese Maxey,Devin Booker kentucky,0.67,5
Vernon CareyJr,DeMarcus Cousins kentucky,0.91,1
Vernon CareyJr,Michael Beasley kansas-state,0.91,2
Vernon CareyJr,Anthony Bennett nevada-las-vegas,0.86,3
Vernon CareyJr,Carl Herrera houston,0.81,4
Vernon CareyJr,Jabari Parker duke,0.81,5
Yoeli Childs,Jason Thompson rider,0.87,1
Yoeli Childs,Nick Collison kansas,0.87,2
Yoeli Childs,Raef LaFrentz kansas,0.86,3
Yoeli Childs,Brian Grant xavier,0.85,4
Yoeli Childs,Craig Smith boston-college,0.83,5
Zeke Nnaji,Anthony Bennett nevada-las-vegas,0.85,1
Zeke Nnaji,Julius Randle kentucky,0.79,2
Zeke Nnaji,Kevin Love ucla,0.78,3
Zeke Nnaji,Chris Bosh georgia-tech,0.77,4
Zeke Nnaji,Carl Herrera houston,0.76,5
